title,link,address,description,price,price_weekly,date,seller,image,bed,type,lat_lon,lat,lon,sq_ft,nres
2 bedroom house of multiple occupation,https://www.rightmove.co.uk/properties/128706557#/?channel=STU_LET,"Birdham Road, Brighton",CLICK LINK FOR 3D TOUR | TWO DOUBLE BEDROOMS | SEPARATE SPACIOUS LIVING ROOM | LARGE GARDEN PERFECT FOR SUMMER! | ZERO DEPOSIT OPTION | CONTENTS INSURANCE INCL | BILLS INCL OPTION | COAPT REF: 6698250 Spacious two bedroom house not far from Brighton and Sussex University. The property offers two...,1296.0,299.0,today,"Coapt, Brighton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74542/128706557/74542_6698250_IMG_00_0000_max_476x317.jpeg,2,occupation,"('50.8498549', '-0.1043958')",50.8498549,-0.1043958,,490
5 bedroom end of terrace house,https://www.rightmove.co.uk/properties/128706557#/?channel=STU_LET,"Bear Road, Brighton",CLICK 3D TOUR LINK | LOVELY GARDEN | SEPERATE LIVING ROOM | FIVE DOUBLES | ZERO DEPOSIT OPTION | GARDENER INCLUDED | CONTENTS INSURANCE INCLUDED | BILLS INCLUDED OPTION AVAILABLE | COAPT REF: 8916865 Excellent five double bedroom student property located on Bear Road in Brighton. This spacious...,2979.0,687.0,today,"Coapt, Brighton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74542/128723594/74542_8916865_IMG_00_0000_max_476x317.jpeg,5,house,"('50.8363863', '-0.1089034')",50.8363863,-0.1089034,,490
6 bedroom detached house,https://www.rightmove.co.uk/properties/128723594#/?channel=STU_LET,"Normanton Street, Brighton","6 DOUBLES AND 2 BATHROOMS | SEPARATE LIVING ROOM | SPACIOUS KITCHEN | BILLS INCLUDED OPTIONS AVAILABLE | CONTENTS INSURANCE INCL | COAPT REF: 11108163 This 6 double bedroom house is perfect for students and sharers, and is conveniently located just off of Lewes Road, with direct transport rout...",3107.0,717.0,today,"Coapt, Brighton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74542/128723582/74542_11108163_IMG_00_0000_max_476x317.jpeg,6,house,"('50.8328615', '-0.1243981')",50.8328615,-0.1243981,,490
4 bedroom detached house,https://www.rightmove.co.uk/properties/128723594#/?channel=STU_LET,"Barrow Hill, Brighton",CLICK 3D TOUR LINK! | FOUR DOUBLES | HUGE LIVING ROOM AND KITCHEN | GOOD STUDENT LOCATION | BILLS INCLUDED OPTIONS AVAILABLE | CONTENTS INSURANCE INCL | COAPT REF: 10664310 This four bedroom student house is located on Barrow Hill by Moulsecoomb Train Station in Hollingdean. The house has four...,2106.0,486.0,today,"Coapt, Brighton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74542/128723558/74542_10664310_IMG_00_0000_max_476x317.jpeg,4,house,"('50.8465682', '-0.1205533')",50.8465682,-0.1205533,,490
5 bedroom terraced house,https://www.rightmove.co.uk/properties/128723582#/?channel=STU_LET,"Hillside, Brighton",CLICK 3D TOUR LINK | LARGE GARDEN | SEPERATE LIVING ROOM | ZERO DEPOSIT OPTION/GARDEN INCL | CONTENTS INSURANCE INCL | BILLS INCL OPTION | COAPT REF: 6723933 This superb five bedroom student house is on Hillside located within a short walk to Brighton Uni's Cockcroft Building. The property bri...,2340.0,540.0,today,"Coapt, Brighton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74542/128723546/74542_6723933_IMG_00_0000_max_476x317.jpeg,5,house,"('50.8446338', '-0.1125331')",50.8446338,-0.1125331,,490
5 bedroom detached house,https://www.rightmove.co.uk/properties/128723582#/?channel=STU_LET,"Waverley Crescent, Brighton","CLICK 3D TOUR LINK | GREAT VIEWS | LARGE GARDEN | FIVE DOUBLES | GARDENER INCLUDED | CONTENTS INSURANCE INCLUDED | BILLS INCLUDED OPTION AVAILABLE | COAPT REF: 10866049 This fantastic five bedroom student house situated in Hollingdean, close to Lewes Road and local shops and amenities. The pro...",2578.0,595.0,today,"Coapt, Brighton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74542/128723504/74542_10866049_IMG_00_0000_max_476x317.jpeg,5,house,"('50.8401998', '-0.1263972')",50.8401998,-0.1263972,,490
6 bedroom semi-detached house,https://www.rightmove.co.uk/properties/128723558#/?channel=STU_LET,"Hillside, Brighton","CLICK FOR 3D TOUR | RECENTLY RENOVATED & MODERN HOUSE | 6 DOUBLES | BILLS INCL OPTION | ZERO DEPOSIT OPTION AVAILABLE | COAPT REF: 6723667 Located in a hugely popular student area, close to Lewes road and the 25 bus route, this semi-detached, six double bedroom house is a marvellous retreat fo...",3456.0,798.0,today,"Coapt, Brighton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74542/128723450/74542_6723667_IMG_00_0000_max_476x317.jpeg,6,house,"('50.8446338', '-0.1125331')",50.8446338,-0.1125331,,490
6 bedroom semi-detached house,https://www.rightmove.co.uk/properties/128723558#/?channel=STU_LET,"Colbourne Avenue, Brighton","CLICK LINK FOR 3D TOUR | BRAND NEW SHOWER ROOM | RECENTLY DECORATED | ALL DOUBLES | CONTENTS INSURANCE INCL | LARGE LIVING ROOM | GARDENER INCL | BILLS INCL OPTIONS AVAILABLE | COAPT REF: 6700948 The house is superb and is located just a couple of minutes' walk from Brighton University, Lewes ...",3432.0,792.0,today,"Coapt, Brighton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74542/128723339/74542_6700948_IMG_00_0000_max_476x317.jpeg,6,house,"('50.8473986', '-0.112161')",50.8473986,-0.112161,,490
4 bedroom terraced house,https://www.rightmove.co.uk/properties/128723546#/?channel=STU_LET,"Coombe Terrace, Brighton","SPACIOUS LIVING ROOM | FOUR DOUBLES | GREAT LOCATION | CLOSE TO TRANSPORT LINKS | BILLS INCL OPTIONS AVAILABLE | COAPT REF: 6700044 This is a well presented four double bedroom, student property located very close to the Sainsbury's, Aldi and great bus links on Lewes Road. You will also be wit...",2219.0,512.0,today,"Coapt, Brighton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74542/128722964/74542_6700044_IMG_00_0000_max_476x317.jpeg,4,house,"('50.8399432', '-0.1224705')",50.8399432,-0.1224705,,490
4 bedroom terraced house,https://www.rightmove.co.uk/properties/128723546#/?channel=STU_LET,"Shanklin Road, Brighton",CLICK 3D TOUR LINK | FOUR DOUBLES | SPACIOUS SEPARATE LIVING ROOM | PRIVATE PATIO GARDEN | POPULAR LOCATION NEAR LEWES ROAD | BILLS INCLUDED OPTIONS AVAILABLE | CONTENTS INSURANCE INCL | COAPT REF: 7656998 This four double bedroom house is located in the popular student area of Elm Grove. With...,2227.0,514.0,today,"Coapt, Brighton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74542/128722856/74542_7656998_IMG_00_0000_max_476x317.jpeg,4,house,"('50.8357253', '-0.1211669')",50.8357253,-0.1211669,,490
