title,link,address,description,price,price_weekly,date,seller,image,bed,type,lat_lon,lat,lon,sq_ft,nres
7 bedroom semi-detached house,https://www.rightmove.co.uk/properties/128346491#/?channel=STU_LET,"Bonnington Walk, Lockleaze, Bristol, BS7","Brand new to the market comes this outstanding, high spec student property. Situated in a superb location for UWE students with good transport links nearby, the property offers the very best in student accommodation. Available on a fully furnished basis, with appliances included and available sta...",5250.0,1212.0,24/10/2022,"CJ Hole, Bishopston",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/10k/9322/128346491/9322_BIL220380_L_IMG_00_0000_max_476x317.jpeg,7,house,"('51.4929354', '-2.5643417')",51.4929354,-2.5643417,,146
2 bedroom apartment,https://www.rightmove.co.uk/properties/128346491#/?channel=STU_LET,"Top Floor Flat, Belgrave Road","STUDENT ACCOMMODATION FOR JUNE 2023. INITIAL VIEWING VIA VIRTUAL TOUR - The top floor flat in a purpose built property is let furnished comprising of 2 double bedrooms, 1 large reception room/dining room, kitchen (with electric cooker, fridge/fre (cont.)",1460.0,337.0,today,"Flatline Letting and Property Management, Clifton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/47k/46997/128521385/46997_FLA1000250_IMG_00_0000_max_476x317.jpeg,2,apartment,"('51.4538022', '-2.5972985')",51.4538022,-2.5972985,,146
1 bedroom apartment,https://www.rightmove.co.uk/properties/128521385#/?channel=STU_LET,"2-12 Baldwin Street, Bristol, BS1",We are Hopewell and have a large portfolio of properties throughout Bristol. ALL bills are included and the properties are fully furnished. Contact us today and we will help you find what you are looking for.,2000.0,462.0,today,"Hopewell, Bristol",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/143k/142562/128519636/142562_25111803_IMG_00_0000_max_476x317.jpeg,1,apartment,"('51.4538245', '-2.5919391')",51.4538245,-2.5919391,""">33,260",146
House share,https://www.rightmove.co.uk/properties/128521385#/?channel=STU_LET,"Redland Road, BS6",An en-suite double room to let for professionals or PHD students with a private en-suite and kitchen facilities in the beautiful area of Redland. 15 minutes walk to the popular Whiteladies Road and Gloucester Road. This room can accept couples. Train station is a 5 minutes walk from the prope...,800.0,185.0,today,"Bristol Property Centre, Bristol",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80230/128518880/80230_10365499_IMG_00_0000_max_476x317.jpeg,1,share,"('51.4699758', '-2.6020239')",51.4699758,-2.6020239,""">33,260",146
5 bedroom semi-detached house,https://www.rightmove.co.uk/properties/128519636#/?channel=STU_LET,"Burley Grove, Hillfields, Bristol, BS16","**AVAILABLE FOR 2023/2024 ACADEMIC YEAR**
AT SANDSTONE UK WE CAN OFFER VIRTUAL VIEWINGS VIA ZOOM.
Beautifully renovated five bedroom property offered fully furnished with private garden.",3420.0,789.0,today,"Sandstone UK Property Management Solutions Ltd, Bristol",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76425/128495858/76425_P6991_IMG_00_0000_max_476x317.jpeg,5,house,"('51.4538022', '-2.5972985')",51.4538022,-2.5972985,,146
5 bedroom terraced house,https://www.rightmove.co.uk/properties/128519636#/?channel=STU_LET,"Manor Road, Fishponds, Bristol, BS16","AT SANDSTONE WE CAN OFFER VIRTUAL VIEWINGS VIA ZOOM.
Five bedroom fully furnished property ideal for students. Includes private garden and private parking!",3695.0,853.0,today,"Sandstone UK Property Management Solutions Ltd, Bristol",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76425/128495852/76425_P6827_IMG_00_0000_max_476x317.jpeg,5,house,"('51.4826037', '-2.5340354')",51.4826037,-2.5340354,,146
4 bedroom terraced house,https://www.rightmove.co.uk/properties/128518880#/?channel=STU_LET,"Filwood Road, Fishponds, Bristol, BS16","**AVAILABLE FOR 2023/2024 ACADEMIC YEAR**
AT SANDSTONE UK WE CAN OFFER VIRTUAL VIEWINGS VIA ZOOM.
Beautifully renovated four bedroom property offered fully furnished with private garden.",2880.0,665.0,today,"Sandstone UK Property Management Solutions Ltd, Bristol",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76425/128495846/76425_P6810_IMG_00_0000_max_476x317.jpeg,4,house,"('51.4778526', '-2.5291091')",51.4778526,-2.5291091,,146
3 bedroom flat,https://www.rightmove.co.uk/properties/128518880#/?channel=STU_LET,"Dartmoor Street, Southville, Bristol, BS3","**AVAILABLE FOR 2023/2024 ACADEMIC YEAR**
*AT SANDSTONE WE CAN OFFER VIRTUAL VIEWINGS VIA ZOOM.*
Recently renovated three bedroom property in fantastic Southville offered fully furnished with private garden and study room. Enquire today!",2555.0,590.0,today,"Sandstone UK Property Management Solutions Ltd, Bristol",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76425/128495843/76425_P6788_IMG_00_0000_max_476x317.jpeg,3,flat,"('51.4405352', '-2.6071266')",51.4405352,-2.6071266,,146
3 bedroom terraced house,https://www.rightmove.co.uk/properties/128495858#/?channel=STU_LET,"Woodside Road, Kingswood, Bristol, BS15","**AVAILABLE FOR 2023/2024 ACADEMIC YEAR**
AT SANDSTONE WE CAN OFFER VIRTUAL VIEWINGS VIA ZOOM.
Terraced three bedroom property recently renovated and offered fully furnished with a private garden. Enquire today!",2290.0,528.0,today,"Sandstone UK Property Management Solutions Ltd, Bristol",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76425/128495837/76425_P6750_IMG_00_0000_max_476x317.jpeg,3,house,"('51.4538022', '-2.5972985')",51.4538022,-2.5972985,,146
2 bedroom flat,https://www.rightmove.co.uk/properties/128495858#/?channel=STU_LET,"Lodge Causeway, Fishponds, Bristol, BS16","**AVAILABLE FOR 2023/2024 ACADEMIC YEAR*
AT SANDSTONE WE CAN OFFER VIRTUAL VIEWINGS VIA ZOOM.
Fantastic newly renovated top floor flat offered fully-furnished in popular Fishponds.",1520.0,351.0,today,"Sandstone UK Property Management Solutions Ltd, Bristol",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76425/128495831/76425_P6717_IMG_00_0000_max_476x317.jpeg,2,flat,"('51.4771205', '-2.5369813')",51.4771205,-2.5369813,,146
