title,link,address,description,price,price_weekly,date,seller,image,bed,type,lat_lon,lat,lon,sq_ft,nres,demand,demand_color
4 bedroom semi-detached house,https://www.rightmove.co.uk/properties/128709440#/?channel=STU_LET,"St. Lukes Mews, Durham, DH1","Large four bedroom house to rent in a private estate in Gilesgate. This spacious house is actually a 5 bedroom home, but is only let out as a 4 bed to ensure comfortable, relaxed living for your... ** Property Reference: 1539830 **",2947.0,680.0,today,"OpenRent, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96668/128709440/96668_153983002112022_IMG_00_0000_max_476x317.jpeg,4.0,house,"('54.7792776', '-1.6517364')",54.7792776,-1.6517364,,15,50.0,orange
1 bedroom semi-detached house,https://www.rightmove.co.uk/properties/128709440#/?channel=STU_LET,"Newton Drive, Durham","1 ROOM AVAILABLE! £450PCM **BILLS INCLUSIVE**
Recently decorated throughout, all bills included. One room available from 14th June 2021 in a 4 bedroom HOUSE SHARE on the outskirts of Durham City Centre. Ideal for young professionals. Newton Drive offers a recently fitted modern kitchen with ...",450.0,104.0,today,"Rise Sales & Lettings, Durham",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63445/127309277/63445_102696000378_IMG_00_0000_max_476x317.jpeg,1.0,house,"('54.7947111', '-1.5872192')",54.7947111,-1.5872192,,15,50.0,orange
2 bedroom apartment,https://www.rightmove.co.uk/properties/127309277#/?channel=STU_LET,"The Sidings, Durham City, DH1","**AVAILABLE JULY 2023** A well presented apartment set within an established residential estate. Close enough to the city centre for walking distance, the apartment is on the top floor and enjoys spacious accommodation. Both bedrooms have double beds, with one having en-suite facilities. T...",1100.0,254.0,today,"Urban Base Executive, North East",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/16k/15013/128687156/15013_25533256_IMG_00_0000_max_476x317.jpeg,2.0,apartment,"('54.7790015', '-1.5610793')",54.7790015,-1.5610793,,15,50.0,orange
2 bedroom apartment,https://www.rightmove.co.uk/properties/127309277#/?channel=STU_LET,"Gilesgate, Durham",*** AVAILABLE 1ST JULY FOR THE 2023-24 ACADEMIC YEAR. This modern student development was completed September 2013 comprising 5 furnished student properties. The property is decorated beautifully throughout and benefits from the use of landscaped communal gardens to the rear...price is for whole ...,1320.0,305.0,26/10/2022,"Elite Estates & Lettings, Durham",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80477/128524742/80477_102313000364_IMG_00_0000_max_476x317.jpeg,2.0,apartment,"('54.780797', '-1.551641')",54.780797,-1.551641,,15,50.0,orange
2 bedroom terraced house,https://www.rightmove.co.uk/properties/128687156#/?channel=STU_LET,"Black Road, Langley Moor, Durham","Available 01st February 2023 on a long term basis, min. 12 month tenancy, professionals and students accepted, no pets, available furnished with option of extra furniture - landlord is flexible. Price £695 PCM (or £80pppw based on 2 sharing), £695 deposit. Garage NOT included.",695.0,160.0,25/10/2022,"Stuart Edwards, Durham",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/137k/136682/116737721/136682_102045011457_IMG_00_0000_max_476x317.jpeg,2.0,house,"('54.7588247', '-1.6106815')",54.7588247,-1.6106815,,15,50.0,orange
1 bedroom apartment,https://www.rightmove.co.uk/properties/128687156#/?channel=STU_LET,"St Andrews Court, New Elvet, Durham, DH1",ONE BEDROOM STUDENT PROPERTY. TENANCY FROM OCTOBER 2023.,1100.0,254.0,24/10/2022,"Ben Charles, Durham",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83492/128364641/83492_DUR210379_L_IMG_00_0000_max_476x317.jpeg,1.0,apartment,"('54.666667', '-1.75')",54.666667,-1.75,,15,50.0,orange
2 bedroom apartment,https://www.rightmove.co.uk/properties/128524742#/?channel=STU_LET,"Byland Close, DH1 4GY","AVAILABLE from the 2nd of July 2023 for Professionals or Postgraduates!VERY SPACIOUS 2 BEDROOM PENTHOUSE APARTMENT located in DURHAM CITY CENTRE! The property comprises of large open plan living/dining area, large island style kitchen, two double bedrooms, one of which is ensuite and one main bat...",1750.0,404.0,17/10/2022,"Nicholas Humphreys, Durham",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/142k/141713/128481116/141713_31051950_IMG_00_0000_max_476x317.jpeg,2.0,apartment,"('54.7750835', '-1.5886572')",54.7750835,-1.5886572,,15,50.0,orange
2 bedroom private halls,https://www.rightmove.co.uk/properties/128524742#/?channel=STU_LET,"2 St. Margarets Mews, Durham City","** STUDENT PROPERTY - BILLS INCLUDED ** The property briefly comprises of: entrance lobby, inviting living room, inner hallway, and kitchen. To the first floor are two well-sized bedrooms and a family bathroom. There is also a large loft, ideal for storage, or with the potential for conv...",1235.0,285.0,16/10/2022,"Robinsons, Durham",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/43k/42734/128089103/42734_31872300_IMG_00_0001_max_476x317.jpeg,2.0,halls,"('54.666667', '-1.75')",54.666667,-1.75,,15,50.0,orange
3 bedroom private halls,https://www.rightmove.co.uk/properties/116737721#/?channel=STU_LET,"5 Colpitts Terrace, Durham","** STUDENT PROPERTY - BILLS EXCLUDED ** Three bed terraced house located in the popular Viaduct area just off The Avenue. Briefly comprising to the lower floor is a lounge open plan to kitchen, shower room and one double bedroom. To the 1st floor are a further two double bedrooms. Benefi...",542.0,125.0,16/10/2022,"Robinsons, Durham",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/43k/42734/128646662/42734_31872209_IMG_00_0000_max_476x317.jpeg,3.0,halls,"('54.77577235', '-1.585462002137647')",54.77577235,-1.585462002137647,,15,50.0,orange
1 bedroom private halls,https://www.rightmove.co.uk/properties/116737721#/?channel=STU_LET,"28 St Helens House, St Helens Well, Durham","** STUDENT PROPERTY - EXCLUDING BILLS ** The property comprises of: Entrance - Via secure hardwood door with intercom entry system. Stairs leading to internal landing area Reception - Entrance/exit door, oak floor and stairs to first floor Landing - Oak floor, inset spotlights and skylig...",702.0,162.0,16/10/2022,"Robinsons, Durham",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/43k/42734/128088365/42734_31872183_IMG_00_0000_max_476x317.jpeg,1.0,halls,"('54.666667', '-1.75')",54.666667,-1.75,,15,50.0,orange
