title,link,address,description,price,sq_ft,date,seller,image,bed,type,lat_lon,lat,lon,nres
Light industrial for sale,https://www.rightmove.co.uk/properties/122138060#/?channel=COM_BUY,"St. Johns Road, Meadowfield Industrial Estate, Durham, Durham, DH7",SECURE HARDSTANDING COMPOUND/DEVELOPMENT SITE - ESTABLISHED INDUSTRIAL PARK LOCATION - CLOSE TO THE A1(M),1400000.0,304920,,"Naylors Gavin Black LLP, Newcastle Upon Tyne",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/101k/100681/122138060/100681_2864FH_IMG_00_0000_max_476x317.jpeg,nan,sale,"('55.9519239', '-3.1114789')",55.9519239,-3.1114789,28
Pub for sale,https://www.rightmove.co.uk/properties/122138060#/?channel=COM_BUY,"65 North Road, Durham, County Durham, DH1",Prime Freehold City City Centre Public House ,,5328,,"CBRE Ltd, Manchester (Licensed, Leisure and Hotel Property)",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/94k/93316/127310045/93316_WaterHouseDurham_IMG_00_0000_max_476x317.jpeg,nan,sale,"('55.9519239', '-3.1114789')",55.9519239,-3.1114789,28
Pub for sale,https://www.rightmove.co.uk/properties/127310045#/?channel=COM_BUY,"Station Road, Low Pittington, Durham",No summary available.,295000.0,,,"R A JACKSON & SON LLP, North Shields",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243566/124525097/243566_31609152_IMG_00_0000_max_476x317.jpeg,nan,sale,"('55.9519239', '-3.1114789')",55.9519239,-3.1114789,28
Office for sale,https://www.rightmove.co.uk/properties/127310045#/?channel=COM_BUY,"17 Old Elvet, Durham, DH1",Rare Freehold Opportunity in Sought After City Centre Location ,280000.0,1079,,"Graham S Hall Chartered Surveyors, Durham",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/207k/206759/105281729/206759_GSHCS17OE_IMG_01_0000_max_476x317.jpeg,nan,sale,"('55.9519239', '-3.1114789')",55.9519239,-3.1114789,28
Post office for sale,https://www.rightmove.co.uk/properties/124525097#/?channel=COM_BUY,"Durham, County Durham, DH7",Investment Property Currently Run As A Post Office,194999.0,,,"Hilton Smythe, Bolton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/151k/150767/72640787/150767_2780A_IMG_01_0000_max_476x317.jpeg,nan,sale,"('55.9519239', '-3.1114789')",55.9519239,-3.1114789,28
Land for sale,https://www.rightmove.co.uk/properties/124525097#/?channel=COM_BUY,"FORMER ROYAL BRITISH LEGION, LAND AT BACK JOHN STREET, MEADOWFIELD, DURHAM, DURHAM, COUNTY DURHAM, DH7 8RT",The property comprises a single storey detached timber club premises with pitched and felt covered roof. The majority of the external walls comprise a horizontal timber boarding with a number of brick built single storey extensions to the rear housing the cellar and toilets. Windows are UPVC dou...,150000.0,20038,,"Lamb & Swift Commercial, Bolton",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/88k/87577/128654981/87577_1177FH_IMG_00_0000_max_476x317.jpeg,nan,sale,"('55.9519239', '-3.1114789')",55.9519239,-3.1114789,28
Cafe for sale,https://www.rightmove.co.uk/properties/105281729#/?channel=COM_BUY,"Tealicious Tea Room and Bakeshop, 88 Elvet Bridge, Durham, United Kingdom, DH1 3AG",Leasehold. Well established business in prime location. Number 1 on Tripadvisor. Excellent opportunity for business growth. Longstanding Customer Loyalty. In house sales as well as online store,50000.0,,,"Christie & Co, Newcastle Upon Tyne",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/164k/163166/127258484/163166_6467068-lh_IMG_00_0000_max_476x317.jpeg,nan,sale,"('55.9519239', '-3.1114789')",55.9519239,-3.1114789,28
Takeaway for sale,https://www.rightmove.co.uk/properties/105281729#/?channel=COM_BUY,"Burger Plug, 21 High St, South,, ","We are delighted to welcome to the market this exciting opportunity to acquire a popular burger takeaway, which has an ideal location in Durham. The business was first established in 2021 and has grown significantly since its creation, whilst also gaining a loyal, repeat customer base and buil...",40000.0,,,"Intelligent Business Partners Ltd, National",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67275/122257010/67275_67275-INT1846_IMG_01_0000_max_476x317.jpeg,nan,sale,"('55.9519239', '-3.1114789')",55.9519239,-3.1114789,28
Light industrial for sale,https://www.rightmove.co.uk/properties/72640787#/?channel=COM_BUY,"St John's Road, Meadowfield Industrial Estate, Durham, DH7 8RJ",Secure hardstanding compound/development site,,256181,,"Savills, Newcastle - Industrial",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238871/122296406/238871_101841-1_IMG_00_0000_max_476x317.jpeg,nan,sale,"('55.9519239', '-3.1114789')",55.9519239,-3.1114789,28
Pub for sale,https://www.rightmove.co.uk/properties/72640787#/?channel=COM_BUY,"Water House, 65 North Road, Durham, DH1 4SQ",Traditional city centre public house for sale on behalf of JD Wetherspoon,,5328,,"Savills, Manchester - Licensed Leisure",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225518/127458962/225518_118499-1_IMG_00_0000_max_476x317.jpeg,nan,sale,"('55.9519239', '-3.1114789')",55.9519239,-3.1114789,28
