title,link,address,description,price,price_weekly,date,seller,image,bed,type,lat_lon,lat,lon,sq_ft,nres,demand,demand_color
2 bedroom flat,https://www.rightmove.co.uk/properties/128453960#/?channel=STU_LET,"Leith Walk, Leith, Edinburgh, EH6","***AT SANDSTONE WE OFFER VIRTUAL VIEWINGS***
This newly renovated cosy property is offered fully furnished and comprises a bright lounge, fully fitted kitchen, 2 double bedrooms and family bathroom. ",1500.0,346.0,20/10/2022,"Sandstone UK Property Management Solutions Ltd, Edinburgh",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/212k/211523/128453960/211523_P6645_IMG_00_0000_max_476x317.jpeg,2,flat,"('55.9703185', '-3.1719695')",55.9703185,-3.1719695,,42,66.0,orange
3 bedroom flat,https://www.rightmove.co.uk/properties/128453960#/?channel=STU_LET,"Trinity Road, Trinity, Edinburgh","A LOVELY UNFURNISHED, THREE DOUBLE BEDROOM PROPERTY IN THE DESIRABLE TRINITY DISTRICT. *THIS PROPERTY DOES NOT HAVE AN HMO LICENSE AND IS NOT SUITABLE FOR STUDENTS*",2500.0,577.0,today,"Murray & Currie, Edinburgh",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/69k/68784/128687897/68784_8209_IMG_00_0000_max_476x317.jpeg,3,flat,"('55.9754879', '-3.2079966')",55.9754879,-3.2079966,,42,66.0,orange
2 bedroom flat,https://www.rightmove.co.uk/properties/128687897#/?channel=STU_LET,"Palmerston Place, West End, Edinburgh","A STYLISH TWO BEDROOM, FIRST FLOOR, FULLY FURNISHED FLAT WITH A BEAUTIFUL OUTLOOK TO ST MARY'S CATHEDRAL. **Professionals/post-graduate students only**",1645.0,380.0,today,"Murray & Currie, Edinburgh",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/69k/68784/128685986/68784_8208_IMG_00_0000_max_476x317.jpeg,2,flat,"('55.9495473', '-3.2188031')",55.9495473,-3.2188031,,42,66.0,orange
5 bedroom flat share,https://www.rightmove.co.uk/properties/128687897#/?channel=STU_LET, Cameron Toll Gardens Edinburgh EH16 4TG United Kingdom,"0440L – Cameron Toll Gardens, Edinburgh, EH16 4TG in Cameron Toll Gardens Edinburgh EH16 4TG United Kingdom",695.0,160.0,today,"SouthSide Property Management, Edinburgh",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/51k/50169/128681063/50169_0440LEDICTG_IMG_00_0000_max_476x317.jpeg,5,share,"('55.9533456', '-3.1883749')",55.9533456,-3.1883749,,42,66.0,orange
2 bedroom flat,https://www.rightmove.co.uk/properties/128685986#/?channel=STU_LET,"Grosvenor Street, West End, Edinburgh, EH12","Beautiful 3rd floor traditional property with large lounge, separate modern f/f kitchen, bright master bedroom with e/s, further double bedroom and main bathroom. GCH. Residents Zone parking. C/Tax: F. Suitable for Mature Students/Professionals.",1500.0,346.0,yesterday,"Cullen Property Ltd, Edinburgh",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/181k/180029/128667545/180029_P2163_IMG_00_0001_max_476x317.jpeg,2,flat,"('55.9465651', '-3.2169025')",55.9465651,-3.2169025,,42,66.0,orange
3 bedroom flat,https://www.rightmove.co.uk/properties/128685986#/?channel=STU_LET,"Livingstone Place, Marchmont, Edinburgh, EH9","**HMO Licence granted** Charming Victorian top floor, three bedroom property available in the highly desirable Marchmont area. This property is being advertised ahead of the completion of a full renovation. ",2150.0,496.0,yesterday,"Gilson Gray LLP, Edinburgh",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218093/128667068/218093_P458_IMG_00_0000_max_476x317.jpeg,3,flat,"('55.9533456', '-3.1883749')",55.9533456,-3.1883749,,42,66.0,orange
2 bedroom flat,https://www.rightmove.co.uk/properties/128681063#/?channel=STU_LET,"Lower Gilmore Bank, Fountainbridge, Edinburgh, EH3","Scenically positioned on the banks of the Union Canal, within an exclusive modern development. Comprises: Lounge/Kitchen, 2 Double Bedrooms (1 with Ensuite Shower) Bathroom with Shower. Professional & student. No pets",1695.0,391.0,yesterday,"Littlejohns ltd, Edinburgh",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/225k/224552/128358743/224552_P1308_IMG_00_0000_max_476x317.jpeg,2,flat,"('55.9533456', '-3.1883749')",55.9533456,-3.1883749,,42,66.0,orange
1 bedroom flat,https://www.rightmove.co.uk/properties/128681063#/?channel=STU_LET,"Patriothall, Stockbridge, Edinburgh, EH3","Very bright and spacious, 1st floor 1 bed flat in the centre of bustling Stockbridge! Offered unfurnished. Recently upgraded with modern decor, carpets and blinds. ",995.0,230.0,yesterday,"Burgh Property, Edinburgh",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58815/128655068/58815_P322_IMG_00_0000_max_476x317.jpeg,1,flat,"('55.9586583', '-3.2068291')",55.9586583,-3.2068291,,42,66.0,orange
Land,https://www.rightmove.co.uk/properties/128667545#/?channel=STU_LET,"Headrigg Row, Edinburgh","ROOM TO LET within house share located in the popular Liberton area of Edinburgh. Viewing of this property is highly recommended. Easy walk to Kings Building. Includes fibre broadband, and utility bills. ",700.0,162.0,,"Martin & Co, Stirling",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/30k/29168/125033510/29168_100650002350_IMG_00_0000_max_476x317.jpeg,,land,"('55.9211895', '-3.1571189')",55.9211895,-3.1571189,,42,66.0,orange
7 bedroom flat share,https://www.rightmove.co.uk/properties/128667545#/?channel=STU_LET, Rankin Drive Edinburgh EH9 3DE United Kingdom,"0350L – Rankin Drive, Edinburgh, EH9 3DE in Rankin Drive Edinburgh EH9 3DE United Kingdom",695.0,160.0,yesterday,"SouthSide Property Management, Edinburgh",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/51k/50169/128681072/50169_0350LEDIRD_IMG_00_0000_max_476x317.jpeg,7,share,"('55.9533456', '-3.1883749')",55.9533456,-3.1883749,,42,66.0,orange
4 bedroom flat,https://www.rightmove.co.uk/properties/128667068#/?channel=STU_LET,"Carrick Knowe Drive, Edinburgh, EH12","This upper villa comprises livingroom, fitted kitchen, four double bedrooms and bathroom with shower over bath. The property further benefits double glazing, and storage. Summary & Exclusions: -... ** Property Reference: 1539311 **",1750.0,404.0,yesterday,"OpenRent, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96668/128634101/96668_153931101112022_IMG_00_0000_max_476x317.jpeg,4,flat,"('55.9371168', '-3.2728118')",55.9371168,-3.2728118,,42,66.0,orange
4 bedroom flat,https://www.rightmove.co.uk/properties/128667068#/?channel=STU_LET,"Lauriston Park, Meadows, Edinburgh, EH3","Bright and airy, large 4 bedroom HMO flat, ideally located close to Edinburgh University, the Meadows and the City Centre.
",2600.0,600.0,01/11/2022,"Dunpark, Edinburgh",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/87k/86593/128620055/86593_P1010_IMG_00_0000_max_476x317.jpeg,4,flat,"('55.9533456', '-3.1883749')",55.9533456,-3.1883749,,42,66.0,orange
8 bedroom flat share,https://www.rightmove.co.uk/properties/128358743#/?channel=STU_LET, Nicolson Street Edinburgh EH8 9EH United Kingdom,"25P Nicolson Street, Edinburgh, EH8 9EH in Nicolson Street Edinburgh EH8 9EH United Kingdom",695.0,160.0,01/11/2022,"SouthSide Property Management, Edinburgh",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/51k/50169/128612861/50169_25PEDINSt_IMG_00_0000_max_476x317.jpeg,8,share,"('55.9440477', '-3.1833972')",55.9440477,-3.1833972,,42,66.0,orange
