title,link,address,description,price,sq_ft,date,seller,image,bed,type,lat_lon,lat,lon,nres
Office for sale,https://www.rightmove.co.uk/properties/126264002#/?channel=COM_BUY,"Baileyfield South, Portobello, Edinburgh, Midlothian, EH15 1ET",This brand new 4-strorey brick-built building comes with class 4 consent for office use and is available now for occupation. The office will be completed to shell only with the new occupier able to fit out as required. This new office space forms part of the new Barratt Homes development the Stra...,,7448,,"Avison Young (UK) Limited, Scotland Agency",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234002/126264002/234002_14313FH_IMG_00_0000_max_476x317.jpeg,nan,sale,"('55.9722046', '-3.1767642')",55.9722046,-3.1767642,33
Office for sale,https://www.rightmove.co.uk/properties/126264002#/?channel=COM_BUY,"3-4 Queen Street, Edinburgh, City of Edinburgh, EH2 1JE","3 Queen Street comprises lower ground, ground and three upper floors of a modern townhouse office conversion. The ground and lower ground floors are let as one unit with a dedicated entrance. The first, second and third floors are accessed via a shared entrance with 4 Queen Street. 4 Queen Street...",3500000.0,15604,,"Lambert Smith Hampton, Edinburgh",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182237/126962165/182237_2049522FH_IMG_02_0000_max_476x317.jpeg,nan,sale,"('55.9722046', '-3.1767642')",55.9722046,-3.1767642,33
Hotel for sale,https://www.rightmove.co.uk/properties/126962165#/?channel=COM_BUY,"Kildonan Lodge Hotel, 27 Craigmillar Park, Edinburgh, EH16 5PE","Freehold. 15 High quality ensuite bedrooms. Potential to expand to 18/20 bedrooms. Private Car Park. Tripadvisor 4.5/5, 93% Excellent/Very Good. Retirement Sale",2000000.0,,,"Christie & Co, Edinburgh",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/164k/163145/123964154/163145_5244996-fh_IMG_00_0000_max_476x317.jpeg,nan,sale,"('55.9722046', '-3.1767642')",55.9722046,-3.1767642,33
Land for sale,https://www.rightmove.co.uk/properties/126962165#/?channel=COM_BUY,"88 Lothian Road, Edinburgh",Unique Leisure / Development Opportunity in Edinburgh City Centre,,21602,,"Savills, Edinburgh",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/208k/207077/128643371/207077_D8BE1AE9-476C-4B4B-8CF2-22020B38E203_IMG_08_0002_max_476x317.jpeg,nan,sale,"('55.9722046', '-3.1767642')",55.9722046,-3.1767642,33
Restaurant for sale,https://www.rightmove.co.uk/properties/123964154#/?channel=COM_BUY,"Viva Mexico 41 Cockburn Street, Edinburgh, EH1 1BS","Bright and vibrant, well established Mexican Restaurant in the heart of Edinburgh Old Town.",950000.0,,,"McEwan Fraser Legal, Edinburgh",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67242/118626359/67242_MFL8200550_IMG_00_0000_max_476x317.jpeg,nan,sale,"('55.9722046', '-3.1767642')",55.9722046,-3.1767642,33
Commercial property for sale,https://www.rightmove.co.uk/properties/123964154#/?channel=COM_BUY,"On The Walk 18 Albert Place, Edinburgh, EH7 5HN",Modern 'hands off' hospitality accommodation business in the heart of Edinburgh's New Town.,900000.0,,,"McEwan Fraser Legal, Edinburgh",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67242/117984686/67242_MFL6200138_IMG_00_0000_max_476x317.jpeg,nan,sale,"('55.9722046', '-3.1767642')",55.9722046,-3.1767642,33
Bar / nightclub for sale,https://www.rightmove.co.uk/properties/128643371#/?channel=COM_BUY,"23B Shandwick Place, Edinburgh, EH2","The subjects are located on the south side of Shandwick Place close to its junction with Queensferry Street and Princes Street. Situated within the Edinburgh West End business district, the subjects also benefit from being in close proximity to both Edinburgh's tram and major bus routes. ",535000.0,2037,,"Orinsen, Edinburgh",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/248k/247304/124521245/247304_23BShandwickPlaceEdinburgh_IMG_00_0000_max_476x317.png,nan,sale,"('55.9722046', '-3.1767642')",55.9722046,-3.1767642,33
Restaurant for sale,https://www.rightmove.co.uk/properties/128643371#/?channel=COM_BUY,"Morrison Street, Edinburgh, EH3",A GREAT OPPORTUNITY TO ACQUIRE A LONG- ESTABLISHED RESTAURANT IN EDINBURGH'S CITY CENTRE,450000.0,,,"DM Hall, Edinburgh",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/147k/146198/124150808/146198_ESA2692_IMG_00_0000_max_476x317.jpeg,nan,sale,"('55.9722046', '-3.1767642')",55.9722046,-3.1767642,33
Retail property (high street) for sale,https://www.rightmove.co.uk/properties/118626359#/?channel=COM_BUY,"19 Waterloo Place, Edinburgh, EH1","The subjects comprise a double windowed, ground floor retail unit contained within a four-storey, end-terraced Georgian building.",440000.0,995,,"ALLIED SURVEYORS SCOTLAND, Edinburgh",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/126630773/245594_19WaterlooPlace_IMG_04_0000_max_476x317.jpeg,nan,sale,"('55.9722046', '-3.1767642')",55.9722046,-3.1767642,33
Hospitality for sale,https://www.rightmove.co.uk/properties/118626359#/?channel=COM_BUY,"Storries Bakers, Midlothian","The business for sale is a favoured local bakery situated in the bustling city of Edinburgh. Serving the local area since 1968 and under current ownership since 1998, the business has grown a huge following of local customers, as well as forging strong ties to its wholesale clients. Its fr...",385000.0,,,"Intelligent Business Partners Ltd, National",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67275/119816621/67275_67275-R07409_IMG_00_0000_max_476x317.png,nan,sale,"('55.9722046', '-3.1767642')",55.9722046,-3.1767642,33
