title,link,address,description,price,price_weekly,date,seller,image,bed,type,lat_lon,lat,lon,sq_ft,nres
5 bedroom flat,https://www.rightmove.co.uk/properties/128410217#/?channel=STU_LET,"Bath Street, City Centre, Glasgow, G2","***AT SANDSTONE WE OFFER VIRTUAL VIEWINGS VIA ZOOM!***
Available this month! 5 bedroom HMO property on Bath Street, in the heart of Glasgow City Centre. An unmissable let, particularly for students. Enquire today!",3420.0,789.0,12/10/2022,"Sandstone UK Property Management Solutions Ltd, Glasgow",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191609/128410217/191609_P5439_IMG_00_0000_max_476x317.jpeg,5,flat,"('55.8609825', '-4.2488787')",55.8609825,-4.2488787,,37
1 bedroom flat,https://www.rightmove.co.uk/properties/128410217#/?channel=STU_LET,"Albion Gate,Glasgow,G1",PLEASE EMAIL INITIAL ENQUIRY - NOT AVAILABLE TO STUDENTS - UNFURNISHED - Unfurnished 1 bedroom modern 2nd floor apartment in the heart of Merchant City.,775.0,179.0,yesterday,"Brunswick Residential Letting Ltd, Glasgow",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/63k/62822/39973796/62822_2albgu_IMG_02_0001_max_476x317.jpeg,1,flat,"('55.8589126', '-4.2434913')",55.8589126,-4.2434913,,37
2 bedroom flat,https://www.rightmove.co.uk/properties/39973796#/?channel=STU_LET,"Firpark Close, Glasgow,","Superb two bedroom property with allocated parking space, situated in Dennistoun and a short walk from the City Centre. Available from 5th December",1100.0,254.0,yesterday,"Countrywide Residential Lettings, Glasgow",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/4k/3304/128669405/3304_000742406_IMG_00_0000_max_476x317.jpeg,2,flat,"('55.863964', '-4.2280083')",55.863964,-4.2280083,,37
1 bedroom flat,https://www.rightmove.co.uk/properties/39973796#/?channel=STU_LET,"Ardery Street, Partick, Glasgow, G11","BRIGHT and HOMELY, ONE BEDROOM, FULLY FURNISHED property, located on the THIRD FLOOR in the popular PARTICK area of GLASGOW. Available: 05/12/2022",750.0,173.0,yesterday,"Umega Lettings, Edinburgh",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153032/128663033/153032_P2213_IMG_00_0000_max_476x317.jpeg,1,flat,"('55.8713243', '-4.3143983')",55.8713243,-4.3143983,,37
2 bedroom flat,https://www.rightmove.co.uk/properties/128669405#/?channel=STU_LET,"Old Rutherglen Road, New Gorbals","Well presented two bedroom apartment which can be offered furnished or unfurnished situated in the Gorbals, in the southside of Glasgow. More images to follow shortly.",995.0,230.0,yesterday,"1-2-Let, Glasgow",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/6k/5827/128659376/5827_101094001149_IMG_00_0000_max_476x317.jpeg,2,flat,"('55.8609825', '-4.2488787')",55.8609825,-4.2488787,,37
2 bedroom flat,https://www.rightmove.co.uk/properties/128669405#/?channel=STU_LET,"2/1, 29 Braeside Street, Glasgow, G20 6QU","A stunning second floor flat offering traditional living with a contemporary twist, located in the West End. Newly re-furbished to an exceptionally high standard with many traditional features. Stunning kitchen, quirky shower room, 2 double bedrooms. Beautifully decorated. GCH. Double Glazing.",1150.0,265.0,01/11/2022,"KeyCentral Property Management Ltd, Cumbernauld",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/92k/91931/128198672/91931_Braeside_IMG_04_0000_max_476x317.jpeg,2,flat,"('55.8609825', '-4.2488787')",55.8609825,-4.2488787,,37
2 bedroom flat,https://www.rightmove.co.uk/properties/128663033#/?channel=STU_LET,"Candleriggs Court, Glasgow, G1","Tay Letting is delighted to present this third-floor property to the market in the popular Merchant City area of Glasgow, AVAILABLE 11th NOVEMBER 2022, FURNISHED.",1295.0,299.0,01/11/2022,"TAY LETTING, Glasgow",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/110k/109514/128623835/109514_P2206_IMG_00_0000_max_476x317.jpeg,2,flat,"('55.8609825', '-4.2488787')",55.8609825,-4.2488787,,37
2 bedroom flat,https://www.rightmove.co.uk/properties/128663033#/?channel=STU_LET,"14 Cornwall Street, Glasgow, G41 1AQ","KPM Residential is proud to present this freshly decorated 2 bedroom property in the southside of Glasgow. The property will come fully furnished. There are two well proportioned double bedrooms, a large fully fitted kitchen and a bathroom. The property is close to local amenities. Please give a ...",995.0,230.0,01/11/2022,"KPM Residential, Glasgow",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/91k/90962/85944519/90962_103168001142_IMG_00_0000_max_476x317.jpeg,2,flat,"('55.8512914', '-4.2872841')",55.8512914,-4.2872841,,37
5 bedroom flat,https://www.rightmove.co.uk/properties/128659376#/?channel=STU_LET,"Great George Street, Hillhead, Glasgow, G12","***Not HMO Licensed***
Large 5 Bedroom Flat in Prime West End Location. This impressive property has 5 bedrooms, spacious lounge and Modern Fitted Kitchen.",1600.0,369.0,01/11/2022,"Gardiner Waters, Glasgow",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/188k/187898/128004845/187898_P444_IMG_00_0000_max_476x317.jpeg,5,flat,"('55.8734838', '-4.2838434')",55.8734838,-4.2838434,,37
2 bedroom flat,https://www.rightmove.co.uk/properties/128659376#/?channel=STU_LET,"flat 0/2 at 17 Hyndland Avenue, G11","Not available to undergrad students. Fabulous ground floor tenement flat on corner of Hyndland Avenue. This is stunning flat offering large reception hall with elegant bay windowed lounge, two double bedrooms. new dining kitchen and bathroom with shower over bath. Offered furnished and decorate...",1450.0,335.0,30/10/2022,"Parker Property, Glasgow",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/63k/62846/128562902/62846_914084_IMG_00_0000_max_476x317.jpeg,2,flat,"('55.8609825', '-4.2488787')",55.8609825,-4.2488787,,37
