title,link,address,description,price,sq_ft,date,seller,image,bed,type,lat_lon,lat,lon,nres
Land for sale,https://www.rightmove.co.uk/properties/85540395#/?channel=COM_BUY,"East Living, French Street, Glasgow, Scotland, G40 4EH",Residential development opportunities with community and sustainability at the core.,,196020,,"Avison Young (UK) Limited, Scotland Agency",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234002/85540395/234002_111474FH_IMG_00_0000_max_476x317.jpeg,nan,sale,"('55.8620775', '-4.2508308')",55.8620775,-4.2508308,129
137 bedroom hotel for sale,https://www.rightmove.co.uk/properties/85540395#/?channel=COM_BUY,"Leonardo Inn Hotel, Shelley Road, Glasgow, G12",Purpose built 137 en suite bedroom hotel in the West End of Glasgow. The hotel has significant development opportunity as part of the hotel car park (circa. 0.85 acres) has the potential for alternative use such as residential and care (subject to necessary consents).,12000000.0,,,"Knight Frank, Hotels",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215114/122160002/215114_HTV012181119_IMG_14_0000_max_476x317.jpeg,137,sale,"('55.8620775', '-4.2508308')",55.8620775,-4.2508308,129
Residential development for sale,https://www.rightmove.co.uk/properties/122160002#/?channel=COM_BUY,"Meadow Road, Glasgow, G11","RARELY AVAILABLE, PRIME GLASGOW WEST END DEVELOPMENT SITE FOR 45 QUALITY FLATS, WORK COMMENCED.",,,,"DM Hall, Glasgow",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/108168161/145094_WSA1998_IMG_02_0000_max_476x317.jpeg,nan,sale,"('55.8620775', '-4.2508308')",55.8620775,-4.2508308,129
Warehouse for sale,https://www.rightmove.co.uk/properties/122160002#/?channel=COM_BUY,"259 Summerlee Street, Glasgow, G33","Queenslie Park lies approximately 5 miles to the east of Glasgow City Centre and is accessed via Junctions 10 and 11 of the M8, lying immediately to the north. Glasgow is Scotland's largest city having a population of 650,000 and a catchment population of approximately 1.5m or thereby. ",3000000.0,96228,,"Lapsley McManus Property Consultants LTD, Glasgow",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73725/119573732/73725_259SummerleeSt_IMG_00_0000_max_476x317.jpeg,nan,sale,"('55.8620775', '-4.2508308')",55.8620775,-4.2508308,129
96 bedroom hospitality for sale,https://www.rightmove.co.uk/properties/108168161#/?channel=COM_BUY,"55 West Regent Street, Glasgow, G2 2AE",Substantial city centre building with planning for serviced apartment use. ,1999999.0,33553,,"EGM PROPERTY CONSULTANTS LTD, Glasgow",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237797/113886023/237797_EGM5_IMG_00_0000_max_476x317.jpeg,96,sale,"('55.8620775', '-4.2508308')",55.8620775,-4.2508308,129
Commercial property for sale,https://www.rightmove.co.uk/properties/108168161#/?channel=COM_BUY,"Argyle Street, Glasgow, G2","Full City Centre Building - Potential For Sub-Division - Restaurant / Residential / Gymnasium / Leisure Use - Basement - 3rd Floors - Total: 14,829sq ft - 14,829sq ft - Rent: £185,000p.a.x. - Sale: £1,850,000",,,,"TSA Property Consultants Ltd, Glasgow",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/201k/200465/125377796/200465_TRFH_IMG_02_0000_max_476x317.jpeg,nan,sale,"('55.8620775', '-4.2508308')",55.8620775,-4.2508308,129
Commercial development for sale,https://www.rightmove.co.uk/properties/119573732#/?channel=COM_BUY,"Maxwell Road, Glasgow, G41",Large Development SiteSituated In South Side of GlasgowAdjacent to new residential DevelopmentCommercial / Residential DevelopmentJ.V Options Available2.85Ac,,124146,,"TSA Property Consultants Ltd, Glasgow",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/201k/200465/81272072/200465_MaxwellRdFH_IMG_00_0000_max_476x317.png,nan,sale,"('55.8620775', '-4.2508308')",55.8620775,-4.2508308,129
Commercial development for sale,https://www.rightmove.co.uk/properties/119573732#/?channel=COM_BUY,"50 Argyle Street, Glasgow, G2 8AG",Prime city centre development opportunity with planning consent for 21 x 1 bedroom apartments and 1 x Class 3 unit over ground and basement,1500000.0,2178,,"G M Brown, Glasgow",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/122016026/243653_101477-1_IMG_00_0000_max_476x317.jpeg,nan,sale,"('55.8620775', '-4.2508308')",55.8620775,-4.2508308,129
Residential development for sale,https://www.rightmove.co.uk/properties/113886023#/?channel=COM_BUY,"1794-1850 Maryhill Road, Glasgow, G20",Rarely Available Roadside Site - Busy Thoroughfare - Potential For Drive-Thru / Residential Site - 1.05Ac - Price on Request ,1500000.0,45738,,"TSA Property Consultants Ltd, Glasgow",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/201k/200465/127450709/200465_MaryhillRdDS_IMG_04_0000_max_476x317.png,nan,sale,"('55.8620775', '-4.2508308')",55.8620775,-4.2508308,129
Land for sale,https://www.rightmove.co.uk/properties/113886023#/?channel=COM_BUY,"Camlachie Street, Glasgow, G31",Residential / Commercial Development Opportunity,1400000.0,114127,,"ALLIED SURVEYORS SCOTLAND, Glasgow",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/243k/242084/125593364/242084_CA8195_IMG_00_0000_max_476x317.jpeg,nan,sale,"('55.8620775', '-4.2508308')",55.8620775,-4.2508308,129
