title,link,address,description,price,price_weekly,date,seller,image,bed,type,lat_lon,lat,lon,sq_ft,nres
5 bedroom town house,https://www.rightmove.co.uk/properties/127826543#/?channel=STU_LET,"12 Hessle Terrace, Hyde Park, Leeds, LS6 1EQ","This 5 Bedroom property is situated in Hyde Park, just a 15 minute walk to the University of Leeds. Hyde Park is a popular student area with plenty of amenities right on your doorstep.",2903.0,670.0,07/10/2022,"Pickard Leeds Limited, Leeds",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/13k/12786/127826543/12786_12HST_IMG_00_0000_max_476x317.jpeg,5,house,"('53.8125468', '-1.5720375')",53.8125468,-1.5720375,,2606
7 bedroom terraced house,https://www.rightmove.co.uk/properties/127826543#/?channel=STU_LET,"Chestnut Avenue, Leeds, West Yorkshire, LS6","*AVAILABLE 1st July 2023* This one really stands out from the crowd. * 7 BED, 3 BRAND NEW BATHROOMS STUDENT PROPERTY - £140PPPW INC BILLS *",607.0,140.0,today,"Beyond Lettings, West Yorkshire",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215072/128707301/215072_BEY40CA_IMG_00_0001_max_476x317.jpeg,7,house,"('53.8132918', '-1.5690623')",53.8132918,-1.5690623,,2606
4 bedroom house,https://www.rightmove.co.uk/properties/128707301#/?channel=STU_LET,"Royal Park Road, LEEDS",AVAILABLE DECEMEBER - DO NOT MISS OUT - HIGH SPEC - EXCELLENT LOCATION - GREAT RENT -,1500.0,346.0,today,"William H. Brown - Lettings, Headingley",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/51k/50819/126272720/50819_P0070H5511_IMG_00_0000_max_476x317.jpeg,4,house,"('53.8102983', '-1.5679561')",53.8102983,-1.5679561,,2606
3 bedroom house,https://www.rightmove.co.uk/properties/128707301#/?channel=STU_LET,"Brudenell Street, Leeds","**CHECK OUT THE VIDEO TOUR** **BILLS INCLUDED OPTION AVAILABLE ON REQUEST** Situated right in the heart of central Hyde Park, a stone`s through from Sainsbury`s and the park itself, this very well maintained property is ideal for a mixed group as there are two bathrooms. Over four floors th...",1365.0,315.0,today,"Stone House Properties, Leeds",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/80k/79285/128710748/79285_S_EVV9ZKK5413P_IMG_00_0000_max_476x317.jpeg,3,house,"('53.8111445', '-1.5677723')",53.8111445,-1.5677723,,2606
6 bedroom house,https://www.rightmove.co.uk/properties/126272720#/?channel=STU_LET,"Buckingham Mount, Leeds","- AVAILABLE 1ST JULY 2023 - Rooftop Living are proud to present this stunning 6 Bedroom 2 Bathroom newly refurbished, super high spec deluxe property located in Headingley, close proximity to the Universities, City Centre and transport links. This impressive property has had no expense spar...",3640.0,840.0,today,"Rooftop Living, Leeds",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/138k/137906/128710733/137906_S_EVNOJP1ZP7P4_IMG_00_0000_max_476x317.jpeg,6,house,"('53.8149452', '-1.571713')",53.8149452,-1.571713,,2606
3 bedroom house,https://www.rightmove.co.uk/properties/126272720#/?channel=STU_LET,"Queens Road, Leeds","- AVAILABLE 1ST JULY 2023 - 360° VIRTUAL TOUR AVAILABLE ON THIS PROPERTY. Rooftop Living are proud to present this stunning 3 Bedroom 2 Bathroom property located in Hyde Park, close proximity to Leeds University, Leeds Beckett University and the City Centre. Just check out this beautiful...",1560.0,360.0,today,"Rooftop Living, Leeds",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/138k/137906/128710736/137906_S_EP6YK66N212W_IMG_00_0000_max_476x317.jpeg,3,house,"('53.7423399', '-1.6098914')",53.7423399,-1.6098914,,2606
3 bedroom house,https://www.rightmove.co.uk/properties/128710748#/?channel=STU_LET,"Brudenell Road, Leeds","****CHECK OUT OUR VIDEO TOUR*** ***BILLS INCLUSIVE PROPERTY TO INCLUDE - GAS, ELECTRICITY, WATER, HIGH SPEED BROADBAND, TV LICENCE & CLEANER*** Situated between Sainsbury s and the park, this location is absolutely ideal for students who want to be right in the centre of Hyde Park. Features i...",1703.0,393.0,today,"Stone House Properties, Leeds",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/80k/79285/128710745/79285_S_0Z78O88R7274_IMG_00_0000_max_476x317.jpeg,3,house,"('53.8116227', '-1.5717018')",53.8116227,-1.5717018,,2606
4 bedroom house,https://www.rightmove.co.uk/properties/128710748#/?channel=STU_LET,"Thornville Mount, Leeds","- AVAILABLE 1ST JULY 2023 - 360° VIRTUAL TOUR AVAILABLE ON THIS PROPERTY. Rooftop Living are proud to present this stunning 4 Bedroom 2 Bathroom newly refurbished, super high spec deluxe property located in Hyde Park, close proximity to the Universities, City Centre and transport links. ...",2427.0,560.0,today,"Rooftop Living, Leeds",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/138k/137906/128710724/137906_S_018GMW5GGGL2_IMG_00_0000_max_476x317.jpeg,4,house,"('53.8107651', '-1.5729541')",53.8107651,-1.5729541,,2606
6 bedroom house,https://www.rightmove.co.uk/properties/128710733#/?channel=STU_LET,"St. Michaels Terrace, Leeds","- AVAILABLE 1ST JULY 2023 - 360° VIRTUAL TOUR AVAILABLE ON THIS PROPERTY. Rooftop Living are proud to present this stunning 6 Bedroom 2 Bathroom semi-detached property located in central Headingley, close proximity to the University and major transport routes. This impressive property c...",2340.0,540.0,today,"Rooftop Living, Leeds",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/138k/137906/128710715/137906_S_089MXZ0R2PN3_IMG_00_0000_max_476x317.jpeg,6,house,"('53.7974185', '-1.5437941')",53.7974185,-1.5437941,,2606
6 bedroom house,https://www.rightmove.co.uk/properties/128710733#/?channel=STU_LET,"Hessle Place, Leeds","AVAILABLE 1ST JULY 2022 - 360° VIRTUAL TOUR AVAILABLE ON THIS PROPERTY. Rooftop Living are proud to present this stunning 6 Bedroom 2 Bathroom property located in the heart of Hyde Park, close proximity to Leeds University, Leeds Beckett University and the City Centre. Just check out thi...",3250.0,750.0,today,"Rooftop Living, Leeds",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/138k/137906/128710703/137906_S_QDN4ZDENG7LL_IMG_00_0000_max_476x317.jpeg,6,house,"('53.812229', '-1.5694404')",53.812229,-1.5694404,,2606
