title,link,address,description,price,sq_ft,date,seller,image,bed,type,lat_lon,lat,lon,nres
16 bedroom mixed use for sale,https://www.rightmove.co.uk/properties/127922603#/?channel=COM_BUY,"Easterly Road, Leeds, West Yorkshire, LS8","Mixed use property consisting of 4 well let commercial units at ground floor level, 16 one-bedroom self-contained apartments at first floor level and extensive car parking at front and rear. ",1500000.0,12000,,"Malcolm Stuart Property Consultants LLP, Tadcaster",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/141k/140816/127922603/140816_230240E_IMG_02_0000_max_476x317.jpeg,16,sale,"('53.8005568', '-1.5630613')",53.8005568,-1.5630613,168
Residential development for sale,https://www.rightmove.co.uk/properties/127922603#/?channel=COM_BUY,"Boston Exchange & 83 Cardigan Lane, Boston Exchange, Leeds, LS4 2AJ",Newly Constructed and Income Producing Residential Investments in Leeds,9400000.0,1498,,"BNP PARIBAS REAL ESTATE ADVISORY & PROPERTY MANAGEMENT UK LIMITED, Sheffield",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208589/114718766/208589_69792-1_IMG_01_0000_max_476x317.jpeg,nan,sale,"('53.8005568', '-1.5630613')",53.8005568,-1.5630613,168
Land for sale,https://www.rightmove.co.uk/properties/114718766#/?channel=COM_BUY,"Bow Street, Leeds",Residential Development Opportunity in Prime Location in Leeds,,94525,,"Savills, Leeds",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73113/123658481/73113_04F0E085-F70D-4C3D-9F12-D8A6ACD5B7CC_IMG_00_0002_max_476x317.jpeg,nan,sale,"('53.8005568', '-1.5630613')",53.8005568,-1.5630613,168
Light industrial for sale,https://www.rightmove.co.uk/properties/114718766#/?channel=COM_BUY,"Units 1, 2 & 3 Rudgate Business Centre, Wetherby, YO26 7RD","The premises comprise 3 interlinking warehouse buildings providing large open plan warehousing with integrated retrofitted office and amenity block facilities.The warehouse accommodation has off road parking and is further serviced via a secure fence and service yard, again off the Rudgate frontage.",2350000.0,33171,,"Lawrence Hannah, York",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/127k/126439/91637888/126439_Units_1_2_3_Rudgate_IMG_01_0000_max_476x317.JPG,nan,sale,"('53.8005568', '-1.5630613')",53.8005568,-1.5630613,168
Office for sale,https://www.rightmove.co.uk/properties/123658481#/?channel=COM_BUY,"Elmete Hall Elmete Lane, Leeds, West Yorkshire, LS8 2LJ","Elmete Hall dates back to 1815 and was one of the finest grade II listed country houses in Leeds, built by the Nicholson family and sold to James Kitson the famous Leeds Engineer. More recently the building was extensively redeveloped and extended in 2005 to provide high quality office buildings...",,12722,,"Lambert Smith Hampton, Leeds",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/170k/169838/83981369/169838_2039221FH_IMG_01_0000_max_476x317.jpg,nan,sale,"('53.8005568', '-1.5630613')",53.8005568,-1.5630613,168
Shop for sale,https://www.rightmove.co.uk/properties/123658481#/?channel=COM_BUY,"Butchers, Yorkshire, Yorkshire","WHOLESALE CATERING BUTCHERS Adjusted Net Profits in Excess of £500,000
Retirement Sale After 24 Years Here
The Sale Includes a Fleet of Vehicles and Equipment
RARELY DO BUSINESSES OF THIS CALIBRE REACH THE OPEN MARKET
Annual Turnover £5,858,610
REF 557463. EPC Band E.
Business £1,750,000
Yorkshire",1750000.0,,,"Ernest Wilson & Co Limited, EW Leeds",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/123466490/153122_557463_IMG_00_0001_max_476x317.jpeg,nan,sale,"('53.8005568', '-1.5630613')",53.8005568,-1.5630613,168
16 bedroom mixed use for sale,https://www.rightmove.co.uk/properties/91637888#/?channel=COM_BUY,"Easterly Road, Leeds, West Yorkshire, LS8","Mixed use property consisting of 4 well let commercial units at ground floor level, 16 one-bedroom self-contained apartments at first floor level and extensive car parking at front and rear. ",1500000.0,12000,,"Malcolm Stuart Property Consultants LLP, Tadcaster",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/141k/140816/127922603/140816_230240E_IMG_02_0000_max_476x317.jpeg,16,sale,"('53.8005568', '-1.5630613')",53.8005568,-1.5630613,168
Commercial property for sale,https://www.rightmove.co.uk/properties/91637888#/?channel=COM_BUY,"37 - 41 Kirkgate, Otley, West Yorkshire, LS21 3HN","Retail investment and superb residential development opportunity.
Rare Grade II Listed freehold opportunity.
Residential potential for 13/14 apartments.
Two retail units included producing £31,250 per annum.
Superb location within Otley town centre.",,15975,,"Eddisons Commercial Limited, Bradford",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236918/107095529/236918_3004026FH_IMG_00_0000_max_476x317.jpeg,nan,sale,"('53.8005568', '-1.5630613')",53.8005568,-1.5630613,168
Warehouse for sale,https://www.rightmove.co.uk/properties/83981369#/?channel=COM_BUY,"Troy Works, Bradford Road, Stanningley, Pudsey, West Yorkshire, LS28 6QA","Industrial complex with ancillary offices. Rare freehold opportunity.
Site area of 0.8 acre.
Large power supply.",1400000.0,23310,,"Eddisons Commercial Limited, Bradford",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236918/85600602/236918_3005815FH_IMG_01_0000_max_476x317.jpeg,nan,sale,"('53.8005568', '-1.5630613')",53.8005568,-1.5630613,168
Distribution warehouse for sale,https://www.rightmove.co.uk/properties/83981369#/?channel=COM_BUY,"Unit 16, Astley Way Industrial Estate, Swillington, Leeds, LS26 8XT","For Sale - Detached Modem Warehouse unit of 11,342 sq ft Asking Price £1250000.00  Unit 16 comprises a modern detached warehouse / industrial unit of steel portal frame construction with two storey offices to the front elevation. 
 
The unit benefits from 3 electric ground level...",1250000.0,11324,,"Knight Frank, Leeds - Commercial",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155510/126845399/155510_LDL012085896_IMG_00_0000_max_476x317.jpeg,nan,sale,"('53.8005568', '-1.5630613')",53.8005568,-1.5630613,168
