title,link,address,description,price,price_weekly,date,seller,image,bed,type,lat_lon,lat,lon,sq_ft,nres
6 bedroom house,https://www.rightmove.co.uk/properties/84023922#/?channel=STU_LET,"Flat 3, 14-16 Smithdown Road",STUDENT PROPERTY! Great 6 Bedroom student house in a prime student area. Modern kitchen with dining area and lounge. 3 shared bathrooms. All rooms have full sized double beds and come fully furnished. All Bills included! (TV license too) £150 deposit required upon sign up.,347.0,80.0,10/06/2022,"Rooms4u, Liverpool",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/168k/167162/84023922/167162_639eb646-996d-4b11-a4b7-38d466aa46eb_IMG_00_0001_max_476x317.jpeg,6,house,"('53.4071991', '-2.99168')",53.4071991,-2.99168,,1888
5 bedroom terraced house,https://www.rightmove.co.uk/properties/84023922#/?channel=STU_LET,"Saxony Road, Liverpool, L7","5 Bed Terraced House, Saxony Road, L7 We are proud to offer this delightful 5 bedroom, 2 bathroom terraced house in a great location. Available to students only. Available to move in from 03 Nov... ** Property Reference: 1540889 **",2275.0,525.0,today,"OpenRent, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96668/128692295/96668_154088903112022_IMG_00_0000_max_476x317.jpeg,5,house,"('53.4112538', '-2.9576709')",53.4112538,-2.9576709,,1888
5 bedroom semi-detached house,https://www.rightmove.co.uk/properties/128692295#/?channel=STU_LET,"Fingland Road, Liverpool, L15",We are proud to offer this delightful 5 bedroom student property in an amazing location off Smithdown Road. Refurbished brand new for the 22/23 academic year to the highest specification - you wou... ** Property Reference: 1540494 **,585.0,135.0,today,"OpenRent, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96668/128692115/96668_154049402112022_IMG_00_0000_max_476x317.jpeg,5,house,"('53.3957023', '-2.9309403')",53.3957023,-2.9309403,,1888
Studio flat,https://www.rightmove.co.uk/properties/128692295#/?channel=STU_LET,"Falkner Square, Georgian Quarter, L8",Students 2023/24. Great location recently renovated studio flat with all universities just a 5 minute walk. On street permit parking. Facility to control your central heating from your phone. Video tour attached,563.0,130.0,today,"Ask Lettings (North West) Ltd, Liverpool",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127417/56684342/127417_19C_IMG_18_0001_max_476x317.jpeg,studio,flat,"('53.3985364', '-2.9630886')",53.3985364,-2.9630886,,1888
6 bedroom terraced house,https://www.rightmove.co.uk/properties/128692115#/?channel=STU_LET,"Egerton Road, Liverpool, Merseyside, L15","Fully furnished 6-bed student house. All bills included with superfast, business grade broadband, free regular cleaning service for communal areas plus a 50"" TV in the lounge.",585.0,135.0,today,"LSH Lettings, Liverpool",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120547/128689853/120547_61EgertonRd_IMG_22_0000_max_476x317.jpeg,6,house,"('53.4071991', '-2.99168')",53.4071991,-2.99168,,1888
6 bedroom terraced house,https://www.rightmove.co.uk/properties/128692115#/?channel=STU_LET,"Woodcroft Road, Liverpool, L15","We are proud to offer this delightful 6 bedroom house, in a great student location. The property boasts 6 very well-sized double bedrooms, as well as 2 immaculate bathrooms. In a prime student lo... ** Property Reference: 1540114 **",581.0,134.0,today,"OpenRent, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96668/128687609/96668_154011402112022_IMG_00_0000_max_476x317.jpeg,6,house,"('53.3956863', '-2.9358185')",53.3956863,-2.9358185,,1888
4 bedroom semi-detached house,https://www.rightmove.co.uk/properties/56684342#/?channel=STU_LET,"Bedford Road, Liverpool","We are proud to present this amazing property to the rental market... a large family home with four bedrooms, three reception rooms and in a great location in Walton, close to County Road and Queens Drive. Recently renovated, with new kitchen and bathroom, double glazing and central heating th...",900.0,208.0,today,"Cocoon (UK), London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229394/128270255/229394_821_IMG_00_0000_max_476x317.jpeg,4,house,"('53.4449615', '-2.9746906')",53.4449615,-2.9746906,,1888
5 bedroom house share,https://www.rightmove.co.uk/properties/56684342#/?channel=STU_LET,"Picton Road, Wavertree, Liverpool","Spacious 5 Bed In Wavertree! Two Bathrooms, Big Kitchen, Large Lounge. Available August 2023 360 Virtual and Video Tour now available to view on our website! ",477.0,110.0,today,"Topproperty Services, Liverpool",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/53k/52188/128682344/52188_1848_IMG_00_0000_max_476x317.jpeg,5,share,"('53.4018931', '-2.9347363')",53.4018931,-2.9347363,,1888
1 bedroom house share,https://www.rightmove.co.uk/properties/128689853#/?channel=STU_LET,"Cranborne Road, Wavertree, Liverpool","Modern And Smart 4 Bed Student Home, Finished To A Great Standard! Book Now To Avoid Disappointment",433.0,100.0,yesterday,"Topproperty Services, Liverpool",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/53k/52188/128679362/52188_1756_IMG_00_0000_max_476x317.jpeg,1,share,"('53.3987342', '-2.9388795')",53.3987342,-2.9388795,,1888
3 bedroom house share,https://www.rightmove.co.uk/properties/128689853#/?channel=STU_LET,"Ash Grove, Wavertree, Liverpool","Refurbished 3 Bedroom Student Home Available August 2023! Decent Sized Rooms, Modern Kitchen. ",433.0,100.0,yesterday,"Topproperty Services, Liverpool",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/53k/52188/128679332/52188_1845_IMG_00_0000_max_476x317.jpeg,3,share,"('53.4003408', '-2.9333294')",53.4003408,-2.9333294,,1888
