title,link,address,description,price,sq_ft,date,seller,image,bed,type,lat_lon,lat,lon,nres
Plot for sale,https://www.rightmove.co.uk/properties/128696129#/?channel=COM_BUY,"Beaconsfield Road, Woolton, Liverpool, Merseyside, L25",The Venmore Group - Land and New Homes are delighted to bring the outstanding St Gabriel's to the market and give developers a fantastic opportunity to acquire and develop in the highly sought after area of Woolton.,,,,"Venmore, Liverpool",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/31k/30399/128696129/30399_ALL220305_IMG_00_0000_max_476x317.jpeg,nan,sale,"('53.404371749999996', '-2.981353101945208')",53.404371749999996,-2.981353101945208,111
Commercial development for sale,https://www.rightmove.co.uk/properties/128696129#/?channel=COM_BUY,"20-48 Basnett Street, Liverpool, Merseyside, L1 1ED","Substantial landmark refurbishment/redevelopment opportunity in prime citycentre location of 153,000 sq ft",,153202,,"Hilco Global Real Estate Advisory, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235124/127211054/235124_BasnettStreet_IMG_01_0000_max_476x317.png,nan,sale,"('53.404371749999996', '-2.981353101945208')",53.404371749999996,-2.981353101945208,111
Pub for sale,https://www.rightmove.co.uk/properties/127211054#/?channel=COM_BUY,"Sandon Complex, 166-182 Oakfield Road, Walton, Liverpool, L4 0UH",Freehold. 5 function suites. 2 public bars. 20 rooms with 123 beds. Large outside area/parking: 60. Hospitality contract with Liverpool F.C.,3500000.0,,,"Christie & Co, Manchester",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/164k/163172/117099944/163172_5652002-fh_IMG_00_0000_max_476x317.jpeg,nan,sale,"('53.404371749999996', '-2.981353101945208')",53.404371749999996,-2.981353101945208,111
Hotel for sale,https://www.rightmove.co.uk/properties/127211054#/?channel=COM_BUY,"Prime UK Regional Trading Hostel , YHA Liverpool Central","An exceptional opportunity to acquire a well-established hostel, unencumbered by brand and management, with excellent rebranding and repositioning potential.",3200000.0,,,"Savills, Manchester",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/165k/164159/120674519/164159_1E0B49BE-A1E2-49B9-80C1-0F4383AAE3D0_IMG_00_0001_max_476x317.jpeg,nan,sale,"('53.404371749999996', '-2.981353101945208')",53.404371749999996,-2.981353101945208,111
Bar / nightclub for sale,https://www.rightmove.co.uk/properties/117099944#/?channel=COM_BUY,"Alma De Cuba, Seel Street, Liverpool, L1 4BH","Grade II Listed Freehold Multi Level Bar Restaurant, Nightclub, Wedding & Events Venue in the Heart of Liverpool City Centre ** Best Bids Required by 5pm on Friday 29th July by 5pm**",2800000.0,11800,,"CBRE Ltd, Manchester (Licensed, Leisure and Hotel Property)",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/94k/93316/125424866/93316_Alma_IMG_00_0000_max_476x317.jpeg,nan,sale,"('53.404371749999996', '-2.981353101945208')",53.404371749999996,-2.981353101945208,111
Restaurant for sale,https://www.rightmove.co.uk/properties/117099944#/?channel=COM_BUY,"Bold Street, Liverpool, Merseyside, L1",INVESTMENT FOR SALE Award Winning Tea Room / Restaurant / Music Venue,1800000.0,8450,,"Jo Real Estate, Liverpool",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/79k/78585/127316456/78585_LeafBoldStreet_IMG_07_0000_max_476x317.jpeg,nan,sale,"('53.404371749999996', '-2.981353101945208')",53.404371749999996,-2.981353101945208,111
Hotel for sale,https://www.rightmove.co.uk/properties/120674519#/?channel=COM_BUY,"Slater Street Apartments, 18a Slater Street, Liverpool, L1 4BS","Freehold. 17 high spec. boutique style bedrooms. Accommodation spread over 6 apartments. 5 of the 6 apartments have a kitchen & lounge. Ground floor retail investment included. Retail investment let at £15,000 per annum",1500000.0,,,"Christie & Co, Manchester",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/164k/163172/89288614/163172_5646710-fh_IMG_00_0001_max_476x317.jpeg,nan,sale,"('53.404371749999996', '-2.981353101945208')",53.404371749999996,-2.981353101945208,111
Hotel for sale,https://www.rightmove.co.uk/properties/120674519#/?channel=COM_BUY,"Arinza Apartments, 1 Beaumont Street, Liverpool, L8 1UJ","Freehold. 10 individual serviced apartments. Recently built corner property. Advised yearly net T/O £167,098. GP £95,813. Well furnished & fitted out apartments. Gated car park for 10 vehicles",1300000.0,,,"Christie & Co, Manchester",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/164k/163172/56779804/163172_5646543-fh_IMG_09_0000_max_476x317.jpg,nan,sale,"('53.404371749999996', '-2.981353101945208')",53.404371749999996,-2.981353101945208,111
Land for sale,https://www.rightmove.co.uk/properties/125424866#/?channel=COM_BUY,"1 Ibbotson's Lane, Liverpool, Merseyside, L17 1AL",The existing property on site comprises a late Victorian detached house of traditional brick construction with tiled roof which has been converted into 4 apartments. The apartments have not been occupied for approximately 4 years and are therefore in an un-refurbished condition. There is a la...,,70829,,"Eddisons Commercial Limited, Liverpool",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184034/114223859/184034_3005330FH_IMG_00_0000_max_476x317.jpeg,nan,sale,"('53.404371749999996', '-2.981353101945208')",53.404371749999996,-2.981353101945208,111
Office for sale,https://www.rightmove.co.uk/properties/125424866#/?channel=COM_BUY,"The Ternary, Old Haymarket, Liverpool, L1 6ER","The Ternary is self-contained commercial space available to let or buy, in the centre of Liverpool arranged over basement, ground and first floors. The space benefits from excellent natural light levels, and currently features stylish exposed services; subject to change of use, the space would ma...",1200000.0,9881,,"Avison Young (UK) Limited, Offices",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/57k/56478/85427586/56478_15095FH_IMG_00_0000_max_476x317.jpeg,nan,sale,"('53.404371749999996', '-2.981353101945208')",53.404371749999996,-2.981353101945208,111
17 bedroom hotel for sale,https://www.rightmove.co.uk/properties/127316456#/?channel=COM_BUY,"Oriel Road, Bootle",Lyons Estates are delighted to offer for sale this TENANTED - MIXED USE property which is FULLY LET.THE RESIDENTIAL FLAT CONVERSION WAS COMPLETED IN 2021 FOR SEVEN FLATS WITH THE GUEST HOUSE ALSO BENEFITING FROM A FACELIFT IN THE SAME YEAR.This FREEHOLD property consists of:SEVEN residential apar...,1100000.0,,,"LYONS ESTATES, Merseyside",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/240k/239237/128693927/239237_11763816_IMG_00_0000_max_476x317.jpeg,17,sale,"('53.404371749999996', '-2.981353101945208')",53.404371749999996,-2.981353101945208,111
Light industrial for sale,https://www.rightmove.co.uk/properties/127316456#/?channel=COM_BUY,"Unit 1 Stonebridge Park, Electric Avenue, Liverpool, L11 0EL",Unit 1 is a modern semi-detached steel portal-framed warehouse unit on a development of four self-contained units. The property is overlaid with profile sheet cladding and incorporates full height double-glazed sections on some elevations. A single electrically operated loading door provides leve...,1100000.0,19793,,"Avison Young (UK) Limited, Restructuring",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245036/124952279/245036_111742FH_IMG_00_0000_max_476x317.jpeg,nan,sale,"('53.404371749999996', '-2.981353101945208')",53.404371749999996,-2.981353101945208,111
