title,link,address,description,price,sq_ft,date,seller,image,bed,type,lat_lon,lat,lon,nres
Office for sale,https://www.rightmove.co.uk/properties/125103182#/?channel=COM_BUY,"9 Bedford Row & 9 Jockey's Fields, London WC1R 4BU","Holborn is a historic and vibrant part of the West End which boarders the City and is known for lively bars and restaurants, the area traditionally has links to the legal profession and is also populated with high end private residences. The premises are situated on the easte...",5450000.0,9875,,"KNIGHT COMMERCIAL LONDON LIMITED, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229580/125103182/229580_102161_IMG_00_0000_max_476x317.jpeg,nan,sale,"('51.6418968', '-0.04734091095326029')",51.6418968,-0.04734091095326029,830
92 bedroom hotel for sale,https://www.rightmove.co.uk/properties/125103182#/?channel=COM_BUY,"Leinster Gardens, London, W2",Prime central London development opportunity,29500000.0,,,"Knight Frank, Hotels",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215114/107037755/215114_HolidayVilla_IMG_00_0000_max_476x317.jpeg,92,sale,"('51.6418968', '-0.04734091095326029')",51.6418968,-0.04734091095326029,830
Land for sale,https://www.rightmove.co.uk/properties/107037755#/?channel=COM_BUY,"Southgate Office Village, 286 Chase Road, London","The property currently comprises an office campus of 7 buildings. With a total GIA of (66,177 sq ft) and car parking on a site of 0.57 hectares (1.4 acres).",28000000.0,60984,,"Savills, Margaret Street- Development",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208037/127243544/208037_48654ACB-3050-44E0-8876-9313BF407C80_IMG_00_0001_max_476x317.jpeg,nan,sale,"('51.6418968', '-0.04734091095326029')",51.6418968,-0.04734091095326029,830
Land for sale,https://www.rightmove.co.uk/properties/107037755#/?channel=COM_BUY,"St Marks Court, Abercorn Place, London",No Summary Provided,22500000.0,,,"Savills, Margaret Street- Development",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208037/124438190/208037_E5D84986-F6C4-4985-AA15-2CF0238F4BA2_IMG_00_0000_max_476x317.jpeg,nan,sale,"('51.6418968', '-0.04734091095326029')",51.6418968,-0.04734091095326029,830
Land for sale,https://www.rightmove.co.uk/properties/127243544#/?channel=COM_BUY,"54 Holland Park, London W11 3SJ","A Grade II listed, white stucco double fronted Italianate Villa, with a south facing garden",,9542,,"Savills, Margaret Street- Development",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208037/77883373/208037_FF125F71-12E2-4F1B-9EBD-4EFDFCABB374_IMG_01_0000_max_476x317.jpg,nan,sale,"('51.6418968', '-0.04734091095326029')",51.6418968,-0.04734091095326029,830
Leisure facility for sale,https://www.rightmove.co.uk/properties/127243544#/?channel=COM_BUY,"Palacegate Casino, Palace Gate, Kensington, London, Greater London","During the conversion of Palace Gate House to a Casino, there were no notable amendments made to the existing structure or the period interior. In recent years the Property had been known as Maxim's and was owned by Genting until it was sold in 2019 and rebranded as Palacegate Casino. The freehol...",20000000.0,12866,,"Gerald Eve, West End - OPRE",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/61k/60402/85880493/60402_25896FH_IMG_00_0000_max_476x317.jpeg,nan,sale,"('51.6418968', '-0.04734091095326029')",51.6418968,-0.04734091095326029,830
Residential development for sale,https://www.rightmove.co.uk/properties/124438190#/?channel=COM_BUY,"Gisburn Mansions, Tottenham Lane, Crouch End",Gisburn Mansions is a rare freehold investment opportunity comprising 30 self-contained flats in North London.,15250000.0,,,"Savills, Margaret Street- Development",,nan,sale,"('51.6418968', '-0.04734091095326029')",51.6418968,-0.04734091095326029,830
Commercial property for sale,https://www.rightmove.co.uk/properties/124438190#/?channel=COM_BUY,"Gisburn Mansions, Tottenham Lane, Crouch End",Gisburn Mansions is a rare freehold investment opportunity comprising 30 self-contained flats in North London.,15250000.0,,,"Savills, Margaret Street - Investment",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210170/85519776/210170_C0D1EB63-DBAB-4B1B-82AA-72A566D70C6C_IMG_02_0002_max_476x317.jpeg,nan,sale,"('51.6418968', '-0.04734091095326029')",51.6418968,-0.04734091095326029,830
Office for sale,https://www.rightmove.co.uk/properties/77883373#/?channel=COM_BUY,"94 Saffron Hill, London, EC1N 8QP","The property provides contemporary office accommodation arranged over lower ground, ground and three upper floors. The second and third floors are linked and benefit from a superb vaulted ceiling and double height area. The ground and lower ground floors have previously benefitted from their own...",14800000.0,16608,,"Tuckerman Commercial Limited, Tuckerman Commercial Limited",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/197k/196085/127280450/196085_1873_IMG_02_0000_max_476x317.jpeg,nan,sale,"('51.6418968', '-0.04734091095326029')",51.6418968,-0.04734091095326029,830
Office for sale,https://www.rightmove.co.uk/properties/77883373#/?channel=COM_BUY,"25 Lime Street, London, EC3M","Situated on the east side of Lime Street, the building enjoys a prominent location in the heart of the Lloyds Triangle within EC3, within the immediate vicinity of Fenchurch Street, Leadenhall Market, and just two minutes walk from Lloyd's of London and the 'Walkie Talkie'.",14000000.0,30301,,"BBG Real Estate Advisers LLP, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214760/114653255/214760_Sale25LimeStreet_IMG_01_0000_max_476x317.jpeg,nan,sale,"('51.6418968', '-0.04734091095326029')",51.6418968,-0.04734091095326029,830
Office for sale,https://www.rightmove.co.uk/properties/85880493#/?channel=COM_BUY,"36-38 Botolph Lane, London, EC3R",Prime city office investment,11626000.0,13386,,"BBG Real Estate Advisers LLP, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214760/124524578/214760_36-38Botolph_IMG_00_0000_max_476x317.jpeg,nan,sale,"('51.6418968', '-0.04734091095326029')",51.6418968,-0.04734091095326029,830
Office for sale,https://www.rightmove.co.uk/properties/85880493#/?channel=COM_BUY,"Building 7, Cally Yard, Sterling Way, Sterling Way, London, N7 9HJ","A brand new office located in a vibrant mixed use development, EPC A & BREEAM 'Excellent'.",11500000.0,22764,,"Compton, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235154/85696299/235154_106816-1_IMG_00_0000_max_476x317.jpeg,nan,sale,"('51.6418968', '-0.04734091095326029')",51.6418968,-0.04734091095326029,830
Commercial development for sale,https://www.rightmove.co.uk/properties/85519257#/?channel=COM_BUY,"Lilian Baylis House, 165 Broadhurst Gardens, London, NW6","Lilian Baylis House is a semi-detached building arranged over lower ground, first and second floor levels, and currently provides one of the key rehearsal venues for the ENO. Originally constructed in around 1910, it has been subsequently extended on several occasions.",11000000.0,29146,,"Lambert Smith Hampton, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182516/120025154/182516_2046735FH_IMG_00_0000_max_476x317.jpeg,nan,sale,"('51.6418968', '-0.04734091095326029')",51.6418968,-0.04734091095326029,830
Retail property (high street) for sale,https://www.rightmove.co.uk/properties/85519257#/?channel=COM_BUY,"25 Newman St, London, W1T 1PN",Prime Fitzrovia Freehold Building FOR SALE,10250000.0,6750,,"Robert Irving Burns, Robert Irving Burns",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/208k/207110/127696961/207110_103281-1_IMG_00_0000_max_476x317.jpeg,nan,sale,"('51.6418968', '-0.04734091095326029')",51.6418968,-0.04734091095326029,830
Pub for sale,https://www.rightmove.co.uk/properties/85519776#/?channel=COM_BUY,"Prince Of Wales, 150-151 Drury Lane, London, WC2B 5TD",An extremely rare opportunity to acquire a trophy public house investment in the Covent Garden district of Central London.,9750000.0,8112,,"Savills, Margaret Street - Licensed Leisure",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225521/127533473/225521_119214-1_IMG_12_0000_max_476x317.jpeg,nan,sale,"('51.6418968', '-0.04734091095326029')",51.6418968,-0.04734091095326029,830
