title,link,address,description,price,price_weekly,date,seller,image,bed,type,lat_lon,lat,lon,sq_ft,nres
1 bedroom apartment,https://www.rightmove.co.uk/properties/118529960#/?channel=STU_LET,"Brookland House, Missouri Avenue, Manchester, Greater Manchester, M50","PRIME LOCATION | Sustainable, contemporary apartments | LUXURY APPLIANCES AND FURNISHINGS | Fully furnished | BRAND NEW BUILDING | Utilities Package in place",1005.0,232.0,10/01/2022,"Manchester Apartments, Manchester Apartments",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/245k/244376/118529960/244376_BROOKLAND1BEDXL_IMG_22_0000_max_476x317.jpeg,1,apartment,"('53.4794892', '-2.2451148')",53.4794892,-2.2451148,,965
2 bedroom apartment,https://www.rightmove.co.uk/properties/118529960#/?channel=STU_LET,"VANTAGE QUAY, BREWER ST, M1 2ED","**AVAILABLE 5th DECEMBER** VIDEO TOUR ATTACHED - Top Floor 2 bedroom, 2 Bathroom, 2 Balcony part furnished apartment in the popular Vantage Quay development in the heart of Piccadilly Basin.",1350.0,312.0,today,"Manlets, Manchester",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/72k/71141/128527973/71141_27208571_IMG_00_0000_max_476x317.jpeg,2,apartment,"('53.4811205', '-2.230640480632414')",53.4811205,-2.230640480632414,,965
4 bedroom terraced house,https://www.rightmove.co.uk/properties/128527973#/?channel=STU_LET,"Furness Road, Fallowfield","£129PPPW EXCLUDING BILLS. A super stylish recently refurbished 4 bed 2 bath house located a short walk from Fallowfield centre. Tenants will have the benefit of a modern, contemporary kitchen, a spacious well appointed lounge and two luxury bathrooms. Available 26 July 2023.",2236.0,516.0,today,"Stanton Properties, Manchester",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/69k/68503/128523332/68503_1013_VALL_IMG_00_0000_max_476x317.jpeg,4,house,"('53.4438502', '-2.2200897')",53.4438502,-2.2200897,,965
4 bedroom terraced house,https://www.rightmove.co.uk/properties/128527973#/?channel=STU_LET,"£123 pppw, See Video Tour, Mabfield Road, Fallowfield",£123PPPW EXCLUDING BILLS. A well presented four bedroom 2 bathroom student house in the centre of Fallowfield. A short walk from Wilmslow Road and all transport links. Available for four students from 26 July 2023.,2132.0,492.0,today,"Stanton Properties, Manchester",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/69k/68503/128523335/68503_1014_VALL_IMG_00_0000_max_476x317.jpeg,4,house,"('53.4794892', '-2.2451148')",53.4794892,-2.2451148,,965
6 bedroom house share,https://www.rightmove.co.uk/properties/128523332#/?channel=STU_LET,"Weaste Lane, Salford, M5",STUDENT PROPERTY! * AVAILABLE AUGUST 2023 FOR 23/24 ACADEMIC YEAR * ROOMS FROM £500pppcm BILLS INCLUDED * 6x DOUBLE BEDROOMS * SEPARATE LOUNGE * 2x BATHROOMS * COUNCIL TAX BAND - A **TENANCY LENGTH – 12 MONTHS,3000.0,692.0,today,"UK Rooms for Rent Limited, Manchester",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113767/120745025/113767_ARU-433924_IMG_00_0001_max_476x317.jpeg,6,share,"('53.4888047', '-2.3086563')",53.4888047,-2.3086563,""">980",965
5 bedroom semi-detached house,https://www.rightmove.co.uk/properties/128523332#/?channel=STU_LET,"Slade Lane, Burnage","Well presented 5 bedroom house, available for NEXT ACADEMIC YEAR, 1st July 2022, Slade Lane Burnage, Manchester, M19 2BY This 5 bedroom house is well presented with spacious rooms and a large kitchen with a dining area. It has been specially developed with attention to the specific needs of st...",3142.0,725.0,today,"Buraq Estates, Manchester",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104428/128521040/104428_104428-10536_IMG_00_0000_max_476x317.jpeg,5,house,"('53.4404635', '-2.2002471')",53.4404635,-2.2002471,""">980",965
5 bedroom terraced house,https://www.rightmove.co.uk/properties/128523335#/?channel=STU_LET,"Mauldeth Road, Manchester, M14",** ON THE CORNER BLOCK OF EGERTON ROAD AND MAULDETH ROAD ** **RENT £95 PW** **DEPOSIT £250** ** 5 BEDROOMS ** ** 2 BATHROOMS ** ** students or professionals **... ** Property Reference: 1535407 **,412.0,95.0,today,"OpenRent, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96668/128520440/96668_153540728102022_IMG_00_0000_max_476x317.jpeg,5,house,"('53.4342339', '-2.2115815')",53.4342339,-2.2115815,""">969",965
5 bedroom semi-detached house,https://www.rightmove.co.uk/properties/128523335#/?channel=STU_LET,"Talbot Road, Manchester, M14",students property 2023-2024 only for students Newly refurbished 5 large bedrooms property 5 large bedrooms Rent ££100 per week wooden new floors 2 Main bathrooms Deposit 250 each own parking for... ** Property Reference: 1535394 **,433.0,100.0,today,"OpenRent, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96668/128520413/96668_153539428102022_IMG_00_0000_max_476x317.jpeg,5,house,"('53.4355225', '-2.2095191')",53.4355225,-2.2095191,""">969",965
5 bedroom semi-detached house,https://www.rightmove.co.uk/properties/120745025#/?channel=STU_LET,"Mauldeth Road, Manchester, M20",Rent £120 pppw Deposit £300 each A LARGE 5 BED HOUSE ON A PRIME LOCATION ------------------------------------------------------- A well standard Property on a prime location Rent £120 pppw D... ** Property Reference: 1535400 **,520.0,120.0,today,"OpenRent, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96668/128520419/96668_153540028102022_IMG_00_0000_max_476x317.jpeg,5,house,"('53.4353578', '-2.2198287')",53.4353578,-2.2198287,,965
8 bedroom end of terrace house,https://www.rightmove.co.uk/properties/120745025#/?channel=STU_LET,"Egerton Road, Manchester, M14","Rent £125 Deposit £300 each A very spacious large Victorian on the large corner block with a large garden. all large double rooms 2 main new bathrooms with bath, shower over bath and separate... ** Property Reference: 1535387 **",542.0,125.0,today,"OpenRent, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96668/128520401/96668_153538728102022_IMG_00_0000_max_476x317.jpeg,8,house,"('53.4403212', '-2.2194982')",53.4403212,-2.2194982,,965
