title,link,address,description,price,sq_ft,date,seller,image,bed,type,lat_lon,lat,lon,nres
Commercial property for sale,https://www.rightmove.co.uk/properties/127894256#/?channel=COM_BUY,"Oldham Road,  Manchester, M35","Situated on a busy main road position, this former retail showroom/workshop to the ground floor benefits from two original entrances and could be split to form two separate properties and still benefit from a good size residential flat on the first floor level.",200000.0,,,"Alan Kirkham, Chadderton Office",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/127894256/229673_229_IMG_00_0000_max_476x317.jpeg,nan,sale,"('53.4468149', '-2.2384281')",53.4468149,-2.2384281,127
Light industrial for sale,https://www.rightmove.co.uk/properties/127894256#/?channel=COM_BUY,"Manchester, Greater Manchester, M13",Unique opportunity to purchase or invest in a world class product with global potentialHighly tested and approved by a large national organisationWorld's fastest product in sector,10000000.0,,,"Nationwide Business Sales LTD, Castleford",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/241k/240671/126286184/240671_data_IMG_01_0000_max_476x317.jpeg,nan,sale,"('53.4468149', '-2.2384281')",53.4468149,-2.2384281,127
87 bedroom hotel for sale,https://www.rightmove.co.uk/properties/126286184#/?channel=COM_BUY,"The Ainscow Hotel, Trinty Way, Salford, Greater Manchester, M3","A stylish 87-bedroom, select service hotel, with substantial value-add opportunities to include the potential to increase the room count and the creation of 99 residential apartments. Situated within a five minute walk to the vibrant Spinningfields and Manchester's financial district.",8500000.0,,,"Knight Frank, Hotels",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215114/121332191/215114_HTV0122621251_IMG_00_0000_max_476x317.jpeg,87,sale,"('53.4468149', '-2.2384281')",53.4468149,-2.2384281,127
Mixed use for sale,https://www.rightmove.co.uk/properties/126286184#/?channel=COM_BUY,"Castle Quay, Manchester, Greater Manchester, M15","MIXED USE INVESTMENT | Grade II listed former warehouse | Refurbished to provide office, leisure and residential accommodation | ASSET MANAGEMENT OPPORTUNITIES | Attractive Castlefield environment | 27,695 sq ft of commercial accommodation configured over lower ground, ground and first",,27695,,"Edwards & Co Surveyors Limited, Manchester",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/200k/199811/121460765/199811_CastleQuayInvest_IMG_00_0000_max_476x317.jpeg,nan,sale,"('53.4468149', '-2.2384281')",53.4468149,-2.2384281,127
1 bedroom commercial development for sale,https://www.rightmove.co.uk/properties/121332191#/?channel=COM_BUY,"Chancellor Lane, Manchester, Greater Manchester, M12","PORTFOLIO are pleased to Offer FOR SALE this Former Gerard's Ice Cream Property/Land, Located on William Street, Manchester in a predominantly Commercial / industrial area on the outskirts of Manchester City Centre and just outside the Manchester inner ring road. Suitable for mixture of usages. ",4000000.0,,,"PORTFOLIO LETS UK LTD, Manchester",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/16k/15440/116693897/15440_GerardsIceCream_IMG_00_0000_max_476x317.jpeg,1,sale,"('53.4468149', '-2.2384281')",53.4468149,-2.2384281,127
Mixed use for sale,https://www.rightmove.co.uk/properties/121332191#/?channel=COM_BUY,"Regency House / Brazil House, 36-38 Whitworth Street / 46-50 Sackville Street, Manchester, Greater Manchester, M1 3NR",An Attractive Retail / Leisure Investment Opportunity in the Heart of Manchester. An excellent freehold opportunity to invest in the fastest growing city in the UK. Regency / Brazil House host a range of exciting and established businesses in one of Manchester's most recognisable areas of the ci...,3500000.0,18706,,"W T Gunson, Manchester - BPG",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96044/117850940/96044_1116FH_IMG_10_0000_max_476x317.jpeg,nan,sale,"('53.4468149', '-2.2384281')",53.4468149,-2.2384281,127
Light industrial for sale,https://www.rightmove.co.uk/properties/121460765#/?channel=COM_BUY,"Oxford Road, Manchester, Greater Manchester, M13",Unique opportunity to purchase or invest in a world class product with global potentialHighly tested and approved by a large national organisationWorld's fastest product in sector,3000000.0,,,"Nationwide Business Sales LTD, Castleford",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/241k/240671/126591038/240671_data2_IMG_00_0000_max_476x317.jpeg,nan,sale,"('53.4468149', '-2.2384281')",53.4468149,-2.2384281,127
Commercial property for sale,https://www.rightmove.co.uk/properties/121460765#/?channel=COM_BUY,"J J Thomson Mews, Manchester, M14","Located in Fallowfield in a highly prominent student location well served by popular local supermarkets, restaurants and cafes. Fully let HMO consisting of X5 townhouses for sale, potential income of £150,000 per annum.",2499995.0,,,"Alan Kirkham, Chadderton Office",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/125357825/229673_151_IMG_00_0000_max_476x317.jpeg,nan,sale,"('53.4468149', '-2.2384281')",53.4468149,-2.2384281,127
Light industrial for sale,https://www.rightmove.co.uk/properties/116693897#/?channel=COM_BUY,"Americhem, Cawdor Street, Eccles, Manchester, Greater Manchester, M30 0QR","The premises comprise a modern detached warehouse of steel portal frame construction beneath a pitched part steel sheet, part asbestos sheet covered roof with brick elevations. To the front of the warehouse there is a double storey section comprising, reception and office/laboratory space on the ...",2250000.0,27180,,"W T Gunson, Manchester - BPG",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96044/127912358/96044_1141FH_IMG_00_0000_max_476x317.jpeg,nan,sale,"('53.4468149', '-2.2384281')",53.4468149,-2.2384281,127
Commercial property for sale,https://www.rightmove.co.uk/properties/116693897#/?channel=COM_BUY,"Wrigley Head, Failsworth, Manchester, M35","Producing circa £187,080K. Ideal for investors or developers. Multi occupancy established estate comprising of Industrial, retail & yard space. Located just of Oldham Road (A62), Greater Manchester. Total site area approximately 1.06 acres.",2000000.0,,,"Alan Kirkham, Chadderton Office",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/118532510/229673_70_IMG_00_0001_max_476x317.png,nan,sale,"('53.4468149', '-2.2384281')",53.4468149,-2.2384281,127
Office for sale,https://www.rightmove.co.uk/properties/117850940#/?channel=COM_BUY,"27 Great Ancoats Street, Manchester, Greater Manchester, M4",A rare opportunity to secure self-contained character office accommodation in the heart of the Northern Quarter | Exposed brick walls | cast-iron columns and beams | Mixture of concrete and durable wood-finish floor | Air-conditioning ,1850000.0,7041,,"Edwards & Co Surveyors Limited, Manchester",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/200k/199811/85386036/199811_27GreatAncoatsForSale_IMG_00_0000_max_476x317.jpeg,nan,sale,"('53.4468149', '-2.2384281')",53.4468149,-2.2384281,127
Office for sale,https://www.rightmove.co.uk/properties/117850940#/?channel=COM_BUY,"27 Great Ancoats Street, Ancoats, Manchester, M4 5AJ",Self contained ground floor character office space to let or to buy between the Northern Quarter and Ancoats.,,5750,,"Savills, Manchester Offices",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232334/123537947/232334_98186-1_IMG_00_0000_max_476x317.jpeg,nan,sale,"('53.4468149', '-2.2384281')",53.4468149,-2.2384281,127
