title,link,address,description,price,price_weekly,date,seller,image,bed,type,lat_lon,lat,lon,sq_ft,nres
5 bedroom semi-detached house,https://www.rightmove.co.uk/properties/128176727#/?channel=STU_LET,"Marlborough Road, Beeston, Nottingham, NG9","AT SANDSTONE WE CAN OFFER VIRTUAL VIEWINGS VIA ZOOM
Impressive Victorian property split over three floors, boasting spacious lounge with door to rear garden, fully fitted kitchen, 5 double bedroom, large bathroom, shower room and separate W.C",2275.0,525.0,27/07/2022,"Sandstone UK Property Management Solutions Ltd, Nottingham",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76434/128176727/76434_P1782_IMG_00_0000_max_476x317.jpeg,5,house,"('52.9534193', '-1.1496461')",52.9534193,-1.1496461,,1694
8 bedroom semi-detached house,https://www.rightmove.co.uk/properties/128176727#/?channel=STU_LET,"Gedling Grove, Nottingham, NG7",STUDENT HOUSE with 8 double bedrooms. A few minutes walk to Nottingham Trent University. Nearby tram stop and supermarket. The cost per student is £129 per week. There is the option (all previous... ** Property Reference: 1531733 **,4472.0,1032.0,today,"OpenRent, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96668/128366111/96668_153173324102022_IMG_00_0000_max_476x317.jpeg,8,house,"('52.9615697', '-1.1628804')",52.9615697,-1.1628804,,1694
7 bedroom apartment,https://www.rightmove.co.uk/properties/128366111#/?channel=STU_LET,"Southey Street, Arboretum","***AVAILABLE 2023/24!! STUDENT APARTMENT*** IDEAL FOR NOTTINGHAM TRENT UNIVERSITY. WITHIN WALKING DISTANCE OF LOCAL SHOPS, NET TRAM NETWORK AND NOTTINGHAM CITY CENTRE",4853.0,1120.0,today,"Tassi Lettings Ltd, Nottingham",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/67k/66377/128534282/66377_103256002940_IMG_00_0000_max_476x317.jpeg,7,apartment,"('52.9534193', '-1.1496461')",52.9534193,-1.1496461,,1694
6 bedroom town house,https://www.rightmove.co.uk/properties/128366111#/?channel=STU_LET,"Raleigh Street, Arboretum, Nottingham","STUDENTS STUDENTS STUDENTS! AVAILABLE ACADEMIC YEAR 23/24 - FANTASTIC 6 BEDROOM PROPERTY !! BILLS INCLUDED!
",3770.0,870.0,today,"Tassi Lettings Ltd, Nottingham",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/67k/66377/128533163/66377_103256000588_IMG_00_0000_max_476x317.jpeg,6,house,"('52.9534193', '-1.1496461')",52.9534193,-1.1496461,,1694
5 bedroom detached house,https://www.rightmove.co.uk/properties/128534282#/?channel=STU_LET,"Johnson Road, Lenton, Nottingham, NG7","**£150pppw inc. of bills ** Five bedrooms ** CALLING ALL STUDENTS ** Shower room and bathroom ** IDEAL LOCATION ** Large garden ** Driveway parking ** Bills to include Gas, Electric, Water & Internet **",3250.0,750.0,today,"Nicholas Humphreys, Nottingham",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/132k/131068/128531237/131068_P1863_IMG_00_0000_max_476x317.jpeg,5,house,"('52.9512158', '-1.1767161')",52.9512158,-1.1767161,,1694
5 bedroom detached house,https://www.rightmove.co.uk/properties/128534282#/?channel=STU_LET,"Johnson Road, Lenton, Nottingham, NG7","** CALLING ALL STUDENTS ** Five Double Bedrooms ** IDEAL LOCATION ** Two shower rooms ** LENTON ** Open plan living/kitchen ** Fitted kitchen with two fridge freezers **Bills inclusive Gas, Electric, Water & Internet **",3250.0,750.0,today,"Nicholas Humphreys, Nottingham",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/132k/131068/128531231/131068_P2015_IMG_00_0000_max_476x317.jpeg,5,house,"('52.9512158', '-1.1767161')",52.9512158,-1.1767161,,1694
2 bedroom apartment,https://www.rightmove.co.uk/properties/128533163#/?channel=STU_LET,"The Moog, The Arboretum","Luxury 2 Bedroom Student apartment - Booking for 23/24 £155 pp pw exclusive of bills - 50 week tenancy
Bills inclusive option available
in The Arboretum 0.6 miles from NTU campus
Contact us today for a viewing - ",1343.0,310.0,today,"FHP Living, Nottingham",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58394/128530967/58394_102431010789_IMG_00_0000_max_476x317.jpeg,2,apartment,"('52.9534193', '-1.1496461')",52.9534193,-1.1496461,,1694
1 bedroom apartment,https://www.rightmove.co.uk/properties/128533163#/?channel=STU_LET,"The Moog, The Arboretum","FHP Student Living present this fantastic site in The Arboretum 0.6 miles from NTU campus, The Moog
Stunning Conversion by Silver Spoon Students Large one bedroom student apartment Available August 2023 £220 pw exclusive of bills Bills inclusive option available
Dual Occupancy an extra &#...",953.0,220.0,today,"FHP Living, Nottingham",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58394/128530229/58394_102431010790_IMG_00_0000_max_476x317.jpeg,1,apartment,"('52.9534193', '-1.1496461')",52.9534193,-1.1496461,,1694
6 bedroom detached house,https://www.rightmove.co.uk/properties/128531237#/?channel=STU_LET,"Balfour Road, Lenton, Nottingham, NG7", **£150pppw Inc. bills** FULLR REFURBISHED SINCE PHOTOGRAPHS TAKEN*** Six double bedrooms ** CALLING ALL STUDENTS ** Dishwasher ** IDEAL LOCATION ** Large corner sofa ** LENTON ** Flat screen TV ** Large dining kitchen **RECENTLY RENOVATED BATHROOMS*,3900.0,900.0,today,"Nicholas Humphreys, Nottingham",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/132k/131068/128529800/131068_P1091_IMG_00_0001_max_476x317.jpeg,6,house,"('52.9548899', '-1.1691877')",52.9548899,-1.1691877,,1694
3 bedroom flat,https://www.rightmove.co.uk/properties/128531237#/?channel=STU_LET,"The Maze, North Sherwood Street","FHP living are proud to present this luxury student apartment, available August 2023
£150 ppwp exclusive of bills - 50 week tenancy Bills inclusive option available
3 double bedrooms with flat screen TV's in each Furnished to a high standard Walking distance from Nottingham city center.
",1950.0,450.0,today,"FHP Living, Nottingham",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58394/128529437/58394_102431012517_IMG_00_0000_max_476x317.jpeg,3,flat,"('52.9534193', '-1.1496461')",52.9534193,-1.1496461,,1694
4 bedroom flat,https://www.rightmove.co.uk/properties/128531231#/?channel=STU_LET,"The Maze, North Sherwood Street","FHP living are proud to present this luxury student apartment, 4 bedroom student apartment available summer 2023
£145 ppwp exclusive of bills - 50 week tenancy Bills inclusive option available
4 double bedrooms with flat screen TV's in each Furnished to a high standard Walking distance f...",2513.0,580.0,today,"FHP Living, Nottingham",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58394/128528807/58394_102431012515_IMG_00_0000_max_476x317.jpeg,4,flat,"('52.9534193', '-1.1496461')",52.9534193,-1.1496461,,1694
6 bedroom detached house,https://www.rightmove.co.uk/properties/128531231#/?channel=STU_LET,"Balfour Road, Lenton, Nottingham, NG7", **£150pppw Inc. bills** FULLY REFUBISHED SINCE PHOTOGRAPHS TAKEN** Six double bedrooms ** CALLING ALL STUDENTS ** Dishwasher ** IDEAL LOCATION ** Large corner sofa ** LENTON ** Flat screen TV ** Large dining kitchen **RECENTLY RENOVATED BATHROOMS**,3900.0,900.0,today,"Nicholas Humphreys, Nottingham",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/132k/131068/128527751/131068_P1090_IMG_00_0001_max_476x317.jpeg,6,house,"('52.9548899', '-1.1691877')",52.9548899,-1.1691877,,1694
5 bedroom detached house,https://www.rightmove.co.uk/properties/128530967#/?channel=STU_LET,"Balfour Road, Lenton, Nottingham, NG7",**£150pppw inc. of bills ** 5 double bedrooms ** CALLING ALL STUDENTS ** Laminate flooring ** LENTON ** Dishwasher ** Great location for bus from Sainsburys or short walk to Rock City ** Separate tumble dryer ** Dining table ** Bath and shower **,3250.0,750.0,today,"Nicholas Humphreys, Nottingham",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/132k/131068/128526833/131068_P3080_IMG_00_0001_max_476x317.jpeg,5,house,"('52.9548899', '-1.1691877')",52.9548899,-1.1691877,,1694
2 bedroom apartment,https://www.rightmove.co.uk/properties/128530967#/?channel=STU_LET,"The Maze, North Sherwood Street","FHP living are proud to present this luxury student apartment, available August 2023
£155 ppwp exclusive of bills - 50 week tenancy Bills inclusive package available Two double bedrooms with flat screen TV's in each Furnished to a high standard Walking distance from Nottingham city center.
",1343.0,310.0,today,"FHP Living, Nottingham",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58394/128526824/58394_102431012511_IMG_00_0000_max_476x317.jpeg,2,apartment,"('52.9534193', '-1.1496461')",52.9534193,-1.1496461,,1694
2 bedroom flat,https://www.rightmove.co.uk/properties/128530229#/?channel=STU_LET,Litmus Building Huntingdon Street,"Available Academic Year 2023/24 - £1250 pcm excluding bills this two bedroom, two bathroom apartment within the popular Litmus Building with access to building facilities including onsite gym, swimming pool and secure parking is perfect for Students. ",1250.0,288.0,today,"Tassi Lettings Ltd, Nottingham",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/67k/66377/128526608/66377_103256000086_IMG_00_0000_max_476x317.jpeg,2,flat,"('52.9564624', '-1.143416')",52.9564624,-1.143416,,1694
2 bedroom flat,https://www.rightmove.co.uk/properties/128530229#/?channel=STU_LET,"The Maze, North Sherwood St","FHP living are proud to present this luxury student apartment, available August 2023
£155 ppwp bills exclusive - bills inclusive options available
50 week tenancy Two double bedrooms with flat screen TV's in each Furnished to a high standard Walking distance from Nottingham city center.
I...",1343.0,310.0,today,"FHP Living, Nottingham",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58394/128526026/58394_102431012510_IMG_00_0000_max_476x317.jpeg,2,flat,"('52.9534193', '-1.1496461')",52.9534193,-1.1496461,,1694
5 bedroom house,https://www.rightmove.co.uk/properties/128529800#/?channel=STU_LET,"Beeston Road, Dunkirk, Nottingham","| Online Reservation Available | 5 Double Bedrooms | Bills Included | Close to the University of Nottingham and QMC| Off-Street Parking | 360 Virtual Tour! | Bills Included |£149pppw|
",3202.0,739.0,today,"Comfort Estates, Nottingham",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/142k/141401/128525846/141401_2385_IMG_00_0000_max_476x317.jpeg,5,house,"('52.9393567', '-1.1837355')",52.9393567,-1.1837355,,1694
